signe	nom_propose	hpo_id	label_hpo	n	choix	arbitre	verdict_next	nom_next
Cylindrical thorax	Abnormal thorax morphology	HP:0000765	Abnormal thorax morphology	1	PARENT:HP:0000765	next:AUTRE Cylindrical thorax ?	AUTRE	Cylindrical thorax
cytopenia	Abnormality of multiple cell lineages in the bone marrow	HP:0012145	Abnormality of multiple cell lineages in the bone marrow	1	HP:0012145	next:AUTRE Cytopenia ?	AUTRE	Cytopenia
Dark discoloration of dentin	Abnormal dentin morphology	HP:0010299	Abnormal dentin morphology	1	HP:0011073	next:AUTRE Abnormal dentin color ?	AUTRE	Abnormal dentin color
Decreased and/or abnormal-appearing collagen VI deposition	Reduced muscle collagen VI	HP:0030095	Reduced muscle collagen VI	1	HP:0030095	next:AUTRE Abnormal collagen VI expression ?	AUTRE	Abnormal collagen VI expression
Decreased anterio-​posterior diameter of proximal femur and humerus	Club-shaped proximal femur	HP:0006406	Club-shaped proximal femur	1	PARENT:HP:0002823	next:AUTRE Short femoral neck ?	AUTRE	Short femoral neck
decreased beard growth	Sparse hair	HP:0008070	Sparse hair	1	NON	next:AUTRE Sparse beard ?	AUTRE	Sparse beard
decreased coagulation factors	Abnormality of coagulation	HP:0001928	Abnormality of coagulation	1	PARENT:HP:0001928	next:AUTRE Decreased circulating coagulation factor concentration ?	AUTRE	Decreased circulating coagulation factor concentration
decreased movement interphalangeal thumb joint	Decreased movement range in interphalangeal joints	HP:0006203	Decreased movement range in interphalangeal joints	1	HP:0006203	next:AUTRE Limitation of interphalangeal joint mobility of the thumb ?	AUTRE	Limitation of interphalangeal joint mobility of the thumb
decreased position and vibration sense	Abnormality of proprioception	HP:0010831	Impaired proprioception	1	HP:0010831+HP:0002495	next:AUTRE Impaired vibration sense ?	AUTRE	Impaired vibration sense
Deep cerebellar white matter involvement	Abnormal cerebral white matter morphology	HP:0002500	Abnormal cerebral white matter morphology	1	PARENT:HP:0001317	next:AUTRE Abnormality of the cerebellar white matter ?	AUTRE	Abnormality of the cerebellar white matter
Deep groove running the length of a short columella	Short columella	HP:0002000	Short columella	1	HP:0002000	next:AUTRE Abnormality of the columella ?	AUTRE	Abnormality of the columella
Deep groove under eyes	Deep nasolabial fold	HP:0005272	Prominent nasolabial fold	1	HP:0100876	next:AUTRE Deep-set eyes ?	AUTRE	Deep-set eyes
Deep heel ulcers	Skin ulcer	HP:0200042	Skin ulcer	1	HP:0001026	next:AUTRE Ulcer on the foot ?	AUTRE	Ulcer on the foot
Deep interphalangeal creases of the feet	Deep plantar creases	HP:0001869	Deep plantar creases	1	HP:0001869	next:AUTRE Deep interdigital creases ?	AUTRE	Deep interdigital creases
Defective insulin secretion	Hypoinsulinemia	HP:0040216	Hypoinsulinemia	1	HP:0040216	next:AUTRE Abnormal insulin secretion ?	AUTRE	Abnormal insulin secretion
defective lamination of the cerebrum	Polymicrogyria	HP:0002126	Polymicrogyria	1	PARENT:HP:0002538	next:AUTRE Abnormal cerebral cortical lamination ?	AUTRE	Abnormal cerebral cortical lamination
Defective mineralization of the inner pelvic rim	Abnormality of the ilium	HP:0002867	Abnormal ilium morphology	1	HP:0009106	next:AUTRE Abnormal ilium ossification ?	AUTRE	Abnormal ilium ossification
Defective ossification of the odontoid process	Odontoid hypoplasia	HP:0003311	Hypoplasia of the odontoid process	1	HP:0003310	next:AUTRE Abnormal odontoid process ossification ?	AUTRE	Abnormal odontoid process ossification
Defective ossification of the vertebral bodies	Abnormal form of the vertebral bodies	HP:0003312	Abnormal form of the vertebral bodies	1	HP:0100569	next:AUTRE Abnormal vertebral body ossification ?	AUTRE	Abnormal vertebral body ossification
Defective posterior ossification of vertebral bodies	Absent in utero ossification of vertebral bodies	HP:0008435	Absent in utero ossification of vertebral bodies	1	HP:0100569	next:AUTRE Abnormal vertebral body ossification ?	AUTRE	Abnormal vertebral body ossification
Defects in laterality	Laterality	HP:0012831	Laterality	1	HP:0030853	next:AUTRE Abnormality of laterality ?	AUTRE	Abnormality of laterality
Deficient cellular immunity	Defective cellular immunity	HP:0002843	Abnormal T cell morphology	1	HP:0005374	next:AUTRE Abnormal T cell physiology ?	AUTRE	Abnormal T cell physiology
Deforming arthritis	Arthritis	HP:0001369	Arthritis	1	HP:0001369	next:AUTRE Deforming arthropathy ?	AUTRE	Deforming arthropathy
Deformities of the ear and/or nose	Ear anomaly	HP:0000598	Abnormality of the ear	1	HP:0000598+HP:0000366	next:AUTRE Abnormality of the ear and nose ?	AUTRE	Abnormality of the ear and nose
Deformities of the great toes	Toe deformity	HP:0034398	Toe deformity	1	HP:0001844	next:AUTRE Abnormality of the great toe ?	AUTRE	Abnormality of the great toe
Deformities of the interphalangeal, metacarpo-phalangeal, and metatarso-phalangeal joints	Abnormal metacarpophalangeal joint morphology	HP:0011911	Abnormal metacarpophalangeal joint morphology	1	HP:0006261+HP:0011911	next:AUTRE Abnormality of the interphalangeal joints ?	AUTRE	Abnormality of the interphalangeal joints
Deformity and restriction of the interphalangeal joints	Stiff interphalangeal joints	HP:0005198	Stiff interphalangeal joints	1	HP:0005198	next:AUTRE Abnormality of the interphalangeal joints ?	AUTRE	Abnormality of the interphalangeal joints
Deformity of interphalangeal, metacarpophalangeal, and metatarsophalangeal joints	Abnormality of the temporomandibular joint	HP:0010754	Abnormality of the temporomandibular joint	1	HP:0006261+HP:0011911	next:AUTRE Abnormality of the interphalangeal joints ?	AUTRE	Abnormality of the interphalangeal joints
Delayed ossification of the neurocentral synchondrosis	Delayed vertebral ossification	HP:0031096	Delayed vertebral ossification	1	HP:0031096	next:AUTRE Delayed ossification of the neurocentral synchondrosis ?	AUTRE	Delayed ossification of the neurocentral synchondrosis
delayed receptive communication	Delayed language development	HP:0000750	Delayed speech and language development	1	HP:0010863	next:AUTRE Delayed receptive language ?	AUTRE	Delayed receptive language
Delta proximal phalanx of the great toe	Triphalangeal thumb	HP:0001199	Triphalangeal thumb	1	HP:0010065	next:AUTRE Triangular shaped phalanges of the foot ?	AUTRE	Triangular shaped phalanges of the foot
Densely ossified femoral necks	Abnormality of the femoral neck	HP:0003367	Abnormal femoral neck morphology	1	PARENT:HP:0003367	next:AUTRE Sclerotic femoral neck ?	AUTRE	Sclerotic femoral neck
Dentigerous cysts	Mandibular cyst	HP:6000595	Mandibular cyst	1	HP:6000595	next:AUTRE Dentigerous cyst ?	AUTRE	Dentigerous cyst
depression of the anterior fontanel	Abnormal anterior fontanelle morphology	HP:0000236	Abnormal anterior fontanelle morphology	1	NON	next:AUTRE Sunken anterior fontanelle ?	AUTRE	Sunken anterior fontanelle
Dermatitis herpetiformis	Herpetiform	HP:0025295	Herpetiform	1	NON	next:AUTRE Dermatitis herpetiformis ?	AUTRE	Dermatitis herpetiformis
Desaturation	Oxygen desaturation on exertion	HP:0030874	Oxygen desaturation on exertion	1	HP:0012418	next:AUTRE Oxygen desaturation ?	AUTRE	Oxygen desaturation
Destructive changes in elbows, knees, and other large joints	Abnormality of the knee	HP:0002815	Abnormality of the knee	1	HP:0002815+HP:0009811	next:AUTRE Abnormality of the elbow ?	AUTRE	Abnormality of the elbow
Deterioration of CNS function	Cognitive impairment	HP:0100543	Cognitive impairment	1	HP:0002180	next:AUTRE Neurodegeneration ?	AUTRE	Neurodegeneration
Deviation and deformation of digits	Clinodactyly	HP:0030084	Clinodactyly	1	PARENT:HP:0001167	next:AUTRE Abnormality of the fingers ?	AUTRE	Abnormality of the fingers
deviation of the nasal root	Depressed nasal bridge	HP:0005280	Depressed nasal bridge	1	PARENT:HP:0000422	next:AUTRE Abnormality of the nasal bridge ?	AUTRE	Abnormality of the nasal bridge
diaphragmatic failure	Diaphragmatic paralysis	HP:0006597	Diaphragmatic paralysis	1	HP:0009113	next:AUTRE Diaphragmatic weakness ?	AUTRE	Diaphragmatic weakness
Diaphyseal broadening of short misshapen bones	Short stature	HP:0004322	Short stature	1	HP:0006371	next:AUTRE Broad diaphyses ?	AUTRE	Broad diaphyses
Diaphyseal fractures	Abnormal diaphysis morphology	HP:0000940	Abnormal diaphysis morphology	1	HP:0003084	next:AUTRE Fracture of long bone diaphyses ?	AUTRE	Fracture of long bone diaphyses
Diaphysitis	Diaphyseal dysplasia	HP:0100252	Diaphyseal dysplasia	1	HP:0003034	next:AUTRE Diaphyseal sclerosis ?	AUTRE	Diaphyseal sclerosis
Diastasis of the medial recti	Divergent strabismus	HP:0020049	Exodeviation	1	HP:0001540	next:AUTRE Abnormality of the extraocular muscles ?	AUTRE	Abnormality of the extraocular muscles
difficulties in head control	Hypotonia	HP:0001252	Hypotonia	1	HP:0002421	next:AUTRE Neck weakness ?	AUTRE	Neck weakness
Difficulties in standing on toes	Difficulty standing	HP:0003698	Difficulty standing	1	HP:0003698	next:AUTRE Difficulty walking ?	AUTRE	Difficulty walking
Difficulty holding head up	Hypotonia	HP:0001252	Hypotonia	1	HP:0002421	next:AUTRE Neck weakness ?	AUTRE	Neck weakness
difficulty in comprehension of written material	Dyslexia	HP:0010522	Dyslexia	1	HP:0010522	next:AUTRE Impaired reading comprehension ?	AUTRE	Impaired reading comprehension
difficulty in spatial orientation	Left-right disorientation	HP:6000000	Left-right disorientation	1	NON	next:AUTRE Impaired spatial orientation ?	AUTRE	Impaired spatial orientation
Difficulty with balance when standing	Ataxia	HP:0001251	Ataxia	1	HP:0001251	next:AUTRE Ataxia ?	AUTRE	Ataxia
Diffuse bilateral symmetric signal abnormality in the deep cerebral and cerebellar white matter	Leukoencephalopathy	HP:0002352	Leukoencephalopathy	1	HP:0002352	next:AUTRE Leukodystrophy ?	AUTRE	Leukodystrophy
Digital necrosis	Cutaneous necrosis	HP:0033126	Cutaneous necrosis	1	HP:0033126	next:AUTRE Necrosis of the digits ?	AUTRE	Necrosis of the digits
Dilated aortic root and ascending aorta	Abnormal ascending aorta morphology	HP:0031784	Abnormal ascending aorta morphology	1	HP:0002616+HP:0004970	next:AUTRE Dilated bile ducts ?	AUTRE	Dilated bile ducts
dilated capillaries	Abnormal capillary morphology	HP:0025016	Abnormal capillary morphology	1	PARENT:HP:0025016	next:AUTRE Dilated capillaries ?	AUTRE	Dilated capillaries
Dilated dural venous sinuses	Abnormal cerebral venous sinus morphology	HP:0033723	Abnormal cerebral venous sinus morphology	1	PARENT:HP:0033723	next:AUTRE Dilated dural venous sinuses ?	AUTRE	Dilated dural venous sinuses
dilated extrahepatic bile ducts	Abnormal extrahepatic bile duct morphology	HP:0035013	Abnormal extrahepatic bile duct morphology	1	PARENT:HP:0035013	next:AUTRE Dilated extrahepatic bile ducts ?	AUTRE	Dilated extrahepatic bile ducts
Dilated left ventricle	Dilated cardiomyopathy	HP:0001644	Dilated cardiomyopathy	1	HP:4000141	next:AUTRE Dilated left ventricle ?	AUTRE	Dilated left ventricle
Dilated right ventricle	Dilated cardiomyopathy	HP:0001644	Dilated cardiomyopathy	1	HP:0005133	next:AUTRE Dilated right ventricle ?	AUTRE	Dilated right ventricle
dilated venous plexus in the central nervous system	Morphological central nervous system abnormality	HP:0002011	Morphological central nervous system abnormality	1	PARENT:HP:0002624	next:PARENT Abnormality of the central nervous system vasculature ?	PARENT	Abnormality of the central nervous system vasculature
diminished circulating memory T and B cells	Abnormal T cell count	HP:0011839	Abnormal total T cell count	1	HP:0032183	next:AUTRE Decreased circulating memory T cell count ?	AUTRE	Decreased circulating memory T cell count
diminished lung volume	Restrictive ventilatory defect	HP:0002091	Restrictive ventilatory defect	1	HP:0002091	next:AUTRE Reduced lung volume ?	AUTRE	Reduced lung volume
Diminished sweat glands	Hypohidrosis	HP:0000966	Hypohidrosis	1	HP:0007387	next:AUTRE Hypoplasia of sweat glands ?	AUTRE	Hypoplasia of sweat glands
Diminutive extrahepatic ducts	Biliary tract abnormality	HP:0001080	Biliary tract abnormality	1	PARENT:HP:0035013	next:AUTRE Hypoplasia of the extrahepatic bile ducts ?	AUTRE	Hypoplasia of the extrahepatic bile ducts
Disfigurement	Congenital heart defect	HP:0001627	Abnormal heart morphology	1	NON	next:AUTRE Abnormal facial morphology ?	AUTRE	Abnormal facial morphology
Dislocation in the cervical spine	Cervical spine instability	HP:0010646	Cervical spine instability	1	HP:0010646	next:AUTRE Cervical spine dislocation ?	AUTRE	Cervical spine dislocation
Dislocation of the fibula	Joint dislocation	HP:0001373	Joint dislocation	1	PARENT:HP:0002991	next:AUTRE Abnormal fibula morphology ?	AUTRE	Abnormal fibula morphology
Dislocation of the interphalangeal joints	Joint dislocation	HP:0001373	Joint dislocation	1	HP:0001373	next:AUTRE Dislocated interphalangeal joints ?	AUTRE	Dislocated interphalangeal joints
Disorders of testicular development	Gonadal dysgenesis, male	HP:0008668	Gonadal dysgenesis, male	1	HP:0008668	next:AUTRE Abnormality of the testis ?	AUTRE	Abnormality of the testis
disorganization of phalanges with distal fusions	Abnormality of the phalanges of the hand	HP:0005918	Abnormal finger phalanx morphology	1	HP:0005918+HP:0001204	next:AUTRE Abnormality of the phalanges of the hand ?	AUTRE	Abnormality of the phalanges of the hand
Disorganized eye tissue	Abnormal eye morphology	HP:0012372	Abnormal eye morphology	1	HP:0012372	next:AUTRE Abnormality of the globe ?	AUTRE	Abnormality of the globe
Displacement or absence of deciduous and permanent teeth	Hypodontia	HP:0000668	Hypodontia	1	HP:0000668+HP:0000692	next:AUTRE Abnormality of the dentition ?	AUTRE	Abnormality of the dentition
Disproportionately long extremities	Abnormal limb bone morphology	HP:0002813	Abnormal limb bone morphology	1	HP:0001519	next:AUTRE Long limb ?	AUTRE	Long limb
Disproportionately long trunk	Truncal obesity	HP:0001956	Truncal obesity	1	NON	next:AUTRE Long trunk ?	AUTRE	Long trunk
Disproportionately wide and elongated phalanges	Broad phalanx	HP:0006009	Broad phalanx	1	HP:0006009+HP:0006155	next:AUTRE Long phalanx ?	AUTRE	Long phalanx
Disruption of meta-diaphyses into small islands of ossification	Metaphyseal dysplasia	HP:0100255	Metaphyseal dysplasia	1	PARENT:HP:0000944	next:AUTRE Fragmented metaphyses ?	AUTRE	Fragmented metaphyses
Disruption of the frontonasal processes	Cleft lip	HP:0410030	Cleft lip	1	NON	next:AUTRE Abnormality of the frontonasal process ?	AUTRE	Abnormality of the frontonasal process
Distal duplication/clefts of thumbs	Cleft hand	HP:0100257	Ectrodactyly	1	HP:0009611	next:AUTRE Split thumb ?	AUTRE	Split thumb
Distal position of palmar axial triradius	High axial triradius	HP:0001042	High axial triradius	1	HP:0001042	next:AUTRE Distal axial triradius ?	AUTRE	Distal axial triradius
Distal radioulnar separation	Radioulnar synostosis	HP:0002974	Radioulnar synostosis	1	HP:6000889	next:AUTRE Abnormality of the distal radioulnar joint ?	AUTRE	Abnormality of the distal radioulnar joint
Distal sensory neuropathy	Distal sensory loss	HP:0002936	Distal sensory impairment	1	HP:0007067	next:AUTRE Distal sensory neuropathy ?	AUTRE	Distal sensory neuropathy
distal tibial amputation	Intrauterine amputation	HP:6001389	Intrauterine amputation	1	HP:0005772	next:AUTRE Absent tibia ?	AUTRE	Absent tibia
dorsal column dysfunction	Abnormal spinal cord dorsal column morphology	HP:0011397	Abnormal spinal cord dorsal column morphology	1	HP:0007006	next:AUTRE Abnormality of the dorsal columns ?	AUTRE	Abnormality of the dorsal columns
dorsal foot deviation	Abnormal foot morphology	HP:0001760	Abnormal foot morphology	1	PARENT:HP:0001760	next:AUTRE Talipes equinovarus ?	AUTRE	Talipes equinovarus
Dorsiflexed hallux	Abnormal hallux morphology	HP:0001844	Abnormal hallux morphology	1	HP:0010051	next:AUTRE Dorsiflexed hallux ?	AUTRE	Dorsiflexed hallux
Dorsiflexion of the feet	Abnormal foot morphology	HP:0001760	Abnormal foot morphology	1	HP:0001884	next:AUTRE Dorsiflexed foot ?	AUTRE	Dorsiflexed foot
Double-humped vertebral bodies	Butterfly vertebrae	HP:0003316	Butterfly vertebrae	1	HP:0003312	next:AUTRE Double-humped vertebral bodies ?	AUTRE	Double-humped vertebral bodies
down-curving nails	Abnormal nail shape	HP:0025755	Abnormal nail shape	1	PARENT:HP:0001597	next:AUTRE Down-curving nails ?	AUTRE	Down-curving nails
Downturned upper lip	Downturned corners of mouth	HP:0002714	Downturned corners of mouth	1	PARENT:HP:0000177	next:AUTRE Downturned upper lip ?	AUTRE	Downturned upper lip
downward protrusion of the supraoccipital bone	Prominent occiput	HP:0000269	Prominent occiput	1	HP:0000269	next:AUTRE Prominent occiput ?	AUTRE	Prominent occiput
Dull mentality	Intellectual disability	HP:0001249	Intellectual disability	1	HP:0001249	next:AUTRE Mild intellectual disability ?	AUTRE	Mild intellectual disability
Duodenal web	Duodenal atresia	HP:0002247	Duodenal atresia	1	HP:0100867	next:AUTRE Duodenal web ?	AUTRE	Duodenal web
duplicated great toe	Polysyndactyly of hallux	HP:0005873	Polysyndactyly of hallux	1	HP:0010066	next:AUTRE Duplication of the hallux ?	AUTRE	Duplication of the hallux
Duplication of fibula and ulna	Fibular duplication	HP:0010503	Fibular duplication	1	HP:0010503	next:PARENT Duplication of long bone ?	PARENT	Duplication of long bone
Duplication of phalangeal anlage	Abnormal finger phalanx morphology	HP:0005918	Abnormal finger phalanx morphology	1	PARENT:HP:0005918	next:PARENT Duplication of phalanx of finger ?	PARENT	Duplication of phalanx of finger
Duplication of the distal phalanx	Bowed tibia	HP:0002982	Tibial bowing	1	PARENT:HP:0011297	next:AUTRE Duplication of distal phalanx of finger ?	AUTRE	Duplication of distal phalanx of finger
Duplication of the palm and sole	Polydactyly	HP:0010442	Polydactyly	1	NON	next:AUTRE Abnormality of the skin of the hands ?	AUTRE	Abnormality of the skin of the hands
Duplication of ulna	Abnormal morphology of ulna	HP:0040071	Abnormal morphology of ulna	1	PARENT:HP:0040071	next:AUTRE Duplication of ulna ?	AUTRE	Duplication of ulna
Duplications of distal phalanges	Polydactyly	HP:0010442	Polydactyly	1	PARENT:HP:0011297	next:AUTRE Duplication of distal phalanx of finger ?	AUTRE	Duplication of distal phalanx of finger
dysgenetic ovaries	Gonadal dysgenesis	HP:0000133	Gonadal dysgenesis	1	HP:0000133	next:AUTRE Ovarian dysgenesis ?	AUTRE	Ovarian dysgenesis
Dysgenetic testes	Gonadal dysgenesis	HP:0000133	Gonadal dysgenesis	1	HP:0008668	next:AUTRE Testicular dysgenesis ?	AUTRE	Testicular dysgenesis
Dysgenetic testis	Gonadal dysgenesis	HP:0000133	Gonadal dysgenesis	1	HP:0008668	next:AUTRE Testicular dysgenesis ?	AUTRE	Testicular dysgenesis
dysmorphic features of the head and face	Dysmorphic facial features	HP:0001999	Abnormal facial shape	1	HP:0001999+HP:0000234	next:AUTRE Abnormal head morphology ?	AUTRE	Abnormal head morphology
dysplasia of multiple thoracolumbar vertebrae	Abnormal vertebral morphology	HP:0003468	Abnormal vertebral morphology	1	PARENT:HP:0003468	next:AUTRE Abnormal thoracolumbar vertebral morphology ?	AUTRE	Abnormal thoracolumbar vertebral morphology
Dysplasia of pelvis	Hip dysplasia	HP:0001385	Hip dysplasia	1	HP:0002644	next:AUTRE Abnormal pelvic morphology ?	AUTRE	Abnormal pelvic morphology
Dyspraxia	Apraxia	HP:0002186	Apraxia	1	HP:0002186	next:AUTRE Dyspraxia ?	AUTRE	Dyspraxia
dystonic tremor	Dystonia	HP:0001332	Dystonia	1	HP:0001332+HP:0001337	next:AUTRE Dystonic tremor ?	AUTRE	Dystonic tremor
Ear anomalies, especially slanting type	Abnormal ear morphology	HP:0031703	Abnormal ear morphology	1	PARENT:HP:0000377	next:AUTRE Abnormality of the pinna ?	AUTRE	Abnormality of the pinna
Early and intractable seizures	Seizures	HP:0001250	Seizure	1	HP:0001250	next:AUTRE Intractable epilepsy ?	AUTRE	Intractable epilepsy
Early childhood-onset non-progressive hearing loss	Hearing abnormality	HP:0000364	Hearing abnormality	1	HP:0000365	next:AUTRE Non-progressive sensorineural hearing loss ?	AUTRE	Non-progressive sensorineural hearing loss
Early death	Death in early adulthood	HP:0100613	Death in early adulthood	1	NON	next:AUTRE Death in childhood ?	AUTRE	Death in childhood
Easily excitable personality	Irritability	HP:0000737	Irritability	1	NON	next:AUTRE Excitability ?	AUTRE	Excitability
echogenic sediment in amniotic fluid	Abnormal amniotic fluid	HP:0001560	Abnormality of the amniotic fluid	1	PARENT:HP:0001560	next:AUTRE Echogenic amniotic fluid ?	AUTRE	Echogenic amniotic fluid
Ectopic canine teeth	Ectopic tooth eruption	HP:4000093	Ectopic tooth eruption	1	HP:4000093	next:AUTRE Ectopic tooth ?	AUTRE	Ectopic tooth
electrolyte imbalance	Abnormality of fluid regulation	HP:0011032	Abnormality of fluid regulation	1	HP:0003111	next:AUTRE Abnormality of electrolyte homeostasis ?	AUTRE	Abnormality of electrolyte homeostasis
Elevated bone turnover	Abnormality of bone mineral density	HP:0004348	Abnormality of bone mineral density	1	NON	next:AUTRE Increased bone turnover ?	AUTRE	Increased bone turnover
elevated serum and CSF lactate	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	1	HP:0002151+HP:0002490	next:AUTRE Increased cerebrospinal fluid lactate concentration ?	AUTRE	Increased cerebrospinal fluid lactate concentration
Elevated serum biochemical markers of inflammation	Abnormal inflammatory response	HP:0012647	Abnormal inflammatory response	1	HP:0011227	next:AUTRE Elevated circulating C-reactive protein concentration ?	AUTRE	Elevated circulating C-reactive protein concentration
Elevated serum lactate	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	1	HP:0002151	next:AUTRE Increased cerebrospinal fluid lactate concentration ?	AUTRE	Increased cerebrospinal fluid lactate concentration
elevated serum LDH, AST, and ALT	Elevated circulating hepatic transaminase concentration	HP:0002910	Elevated circulating hepatic transaminase concentration	1	HP:0002910+HP:0025435	next:AUTRE Elevated circulating lactate dehydrogenase concentration ?	AUTRE	Elevated circulating lactate dehydrogenase concentration
elevation of the eyebrow	Prominent eyebrows	HP:0000574	Thick eyebrow	1	PARENT:HP:0000534	next:AUTRE High eyebrows ?	AUTRE	High eyebrows
elevation of the superolateral aspect of the orbit and sphenoid wing	Abnormality of the orbital region	HP:0000315	Abnormality of the orbital region	1	PARENT:HP:0000315	next:AUTRE Elevation of the superolateral orbital rim ?	AUTRE	Elevation of the superolateral orbital rim
elongated ischia	Abnormal ischium morphology	HP:0003174	Abnormal ischium morphology	1	PARENT:HP:0003174	next:AUTRE Long ischium ?	AUTRE	Long ischium
Elongation of the proximal and middle phalanges	Abnormal proximal phalanx morphology of the hand	HP:0009834	Abnormal proximal phalanx morphology of the hand	1	HP:0006127+HP:0012298	next:AUTRE Long proximal phalanx of the hand ?	AUTRE	Long proximal phalanx of the hand
Enlarged adenoids and tonsils	Enlarged tonsils	HP:0030812	Enlarged tonsils	1	HP:0030812+HP:0040261	next:AUTRE Enlarged adenoids ?	AUTRE	Enlarged adenoids
Enlarged and flattened capital femoral epiphyses	Abnormality of the femoral head	HP:0003368	Abnormal femoral head morphology	1	HP:0003371+HP:0003370	next:AUTRE Flattened capital femoral epiphysis ?	AUTRE	Flattened capital femoral epiphysis
Enlarged anterior pituitary lobe	Abnormality of the anterior pituitary	HP:0011747	Abnormality of the anterior pituitary	1	HP:0012505	next:AUTRE Enlarged anterior pituitary lobe ?	AUTRE	Enlarged anterior pituitary lobe
enlarged caudate head	Abnormal caudate nucleus morphology	HP:0002339	Abnormal caudate nucleus morphology	1	PARENT:HP:0002339	next:AUTRE Enlarged caudate nucleus ?	AUTRE	Enlarged caudate nucleus
Enlarged coronoid process	Abnormal mandible coronoid process morphology	HP:3000078	Abnormal mandible coronoid process morphology	1	HP:3000078	next:AUTRE Enlarged mandibular coronoid process ?	AUTRE	Enlarged mandibular coronoid process
Enlarged eyes	Abnormal eye morphology	HP:0012372	Abnormal eye morphology	1	HP:0000557	next:AUTRE Macrophthalmia ?	AUTRE	Macrophthalmia
Enlarged iris processes	Abnormality iris morphology	HP:0000525	Abnormality iris morphology	1	PARENT:HP:0000525	next:AUTRE Persistent pupillary membrane ?	AUTRE	Persistent pupillary membrane
enlargement of hands and feet	Macrodactyly	HP:0004099	Macrodactyly	1	HP:0001176+HP:0001833	next:AUTRE Macrodactyly of the hands ?	AUTRE	Macrodactyly of the hands
Enlargement of the nose and lips	Macrostomia	HP:0000154	Wide mouth	1	NON	next:AUTRE Broad nose ?	AUTRE	Broad nose
Enlargement of the nose and lips	Macroglossia	HP:0000158	Macroglossia	1	NON	next:AUTRE Thick lips ?	AUTRE	Thick lips
Epiphyseal separation at the elbow	Epiphyseal dysplasia	HP:0002656	Epiphyseal dysplasia	1	PARENT:HP:0003946	next:AUTRE Epiphyseal separation ?	AUTRE	Epiphyseal separation
episodic status dystonicus	Paroxysmal dystonia	HP:0002268	Paroxysmal dystonia	1	HP:0001332	next:AUTRE Status dystonicus ?	AUTRE	Status dystonicus
Epithelioid schwannoma	Schwannoma	HP:0100008	Schwannoma	1	HP:0100008	next:AUTRE Epithelioid schwannoma ?	AUTRE	Epithelioid schwannoma
Epithelioma	Neoplasm	HP:0002664	Neoplasm	1	NON	next:AUTRE Epithelioma ?	AUTRE	Epithelioma
Equinus foot	Talipes equinovarus	HP:0001762	Talipes equinovarus	1	HP:0001762	next:AUTRE Equinus deformity ?	AUTRE	Equinus deformity
Erlenmeyer-flask appearance to tibia	Abnormal tibia morphology	HP:0002992	Abnormal tibia morphology	1	HP:0003016	next:AUTRE Erlenmeyer flask deformity ?	AUTRE	Erlenmeyer flask deformity
eroded acetabular roofs	Abnormal acetabulum morphology	HP:0003170	Abnormal acetabulum morphology	1	HP:0033640	next:AUTRE Erosion of acetabulum ?	AUTRE	Erosion of acetabulum
eroded iliac crests	Irregular iliac crest	HP:0003796	Irregular iliac crest	1	HP:0003796	next:AUTRE Erosion of iliac crest ?	AUTRE	Erosion of iliac crest
erratic behavior	Aggressive behavior	HP:0000718	Aggressive behavior	1	HP:0000713	next:AUTRE Agitation ?	AUTRE	Agitation
erythema & fine scales on face & trunk	Hyperkeratosis	HP:0000962	Hyperkeratosis	1	HP:0008064+HP:0010783	next:AUTRE Fine scaling ?	AUTRE	Fine scaling
Eustachian tube dysfunction	Abnormal Eustachian tube morphology	HP:0040115	Abnormal Eustachian tube morphology	1	PARENT:HP:0040115	next:AUTRE Eustachian tube dysfunction ?	AUTRE	Eustachian tube dysfunction
Excess abdominal skin	Redundant skin	HP:0001582	Redundant skin	1	HP:0001582	next:AUTRE Redundant abdominal skin ?	AUTRE	Redundant abdominal skin
Excess iron storage	Abnormality of iron homeostasis	HP:0011031	Abnormality of iron homeostasis	1	HP:0011031	next:AUTRE Iron overload ?	AUTRE	Iron overload
Excess skin on back of neck	Webbed neck	HP:0000465	Webbed neck	1	HP:0000474	next:AUTRE Nuchal fold thickening ?	AUTRE	Nuchal fold thickening
Excess skin over the glabella	Premature glabellar skin wrinkling	HP:6000744	Premature glabellar skin wrinkling	1	NON	next:AUTRE Redundant skin over the glabella ?	AUTRE	Redundant skin over the glabella
Excessive chewing/mouthing behaviors	Pica	HP:0011856	Pica	1	HP:0000733	next:AUTRE Oral stereotypy ?	AUTRE	Oral stereotypy
Excessive crying	Inappropriate crying	HP:0030215	Inappropriate crying	1	HP:0030215	next:AUTRE Excessive crying ?	AUTRE	Excessive crying
Excessive extra-axial fluid spaces	Enlarged subarachnoid space	HP:0012704	Widened subarachnoid space	1	HP:0012510	next:AUTRE Enlarged extra-axial cerebrospinal fluid spaces ?	AUTRE	Enlarged extra-axial cerebrospinal fluid spaces
Excessive skin wrinkling of the forehead	Vertical forehead creases	HP:0011221	Vertical forehead creases	1	HP:0007392	next:AUTRE Deep-set eyes ?	AUTRE	Deep-set eyes
Excitability	Hyperactivity	HP:0000752	Hyperactivity	1	NON	next:AUTRE Hyperexcitability ?	AUTRE	Hyperexcitability
