signe_livre	occurrences	region	candidat_hpo	label_hpo	portee_proposee	definition_hpo	commentaire_hpo	decision	motif
low-set and or malformed ears	2	ears	HP:0000369	Low-set ears	NAME (j=0.67)	Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.			
vacterl association	2	other							
severe to profound intellectual disability	2	neuro	HP:0002187	Profound intellectual disability	NAME (j=0.75)	Profound intellectual disability (ID) is defined as a type of ID characterized by profoundly sub-average adaptive functioning and intellectual functioning, with an intelligence quotient (IQ) below 20.	Persons with profound mental retardation generally require constant care.		
retinal defect	2	eyes							
poor fine and gross motor coordination	2	neuro	HP:0007010	Poor fine motor coordination	NAME (j=0.80)	An abnormality of the ability (skills) to perform a precise movement of small muscles with the intent to perform a specific act. Fine motor skills are required to mediate movements of the wrists, hands, fingers, feet, and toes.			
central precocious puberty	2	genitourinary	HP:0000826	Precocious puberty	NAME (j=0.67)	The onset of secondary sexual characteristics before a normal age. Although it is difficult to define normal age ranges because of the marked variation with which puberty begins in normal children, precocious puberty can be defined as the onset of puberty before the age of 8 years in girls or 9 year			
upward slant to palpebral fissures	2	eyes	HP:0000494	Downslanted palpebral fissures	EXACT (j=0.60)	The palpebral fissure inclination is more than two standard deviations below the mean.			
premature loss of deciduous anterior teeth	2	mouth	HP:0006323	Premature loss of primary teeth	EXACT (j=0.80)	Loss of the primary (also known as deciduous) teeth before the usual age.	The primary teeth are usually shed and replaced by the permanent teeth, usually by the age of six years. With premature loss of primary teeth, there is a delay between the loss of the primary teeth an		
ovarian agenesis	2	genitourinary							
inner canthal folds	2	eyes							
thickened ear helices	2	ears	HP:0000391	Thickened helices	NAME (j=0.67)	Increased thickness of the helix of the ear.			
hypertelorism or telecanthus	2	eyes	HP:0000316	Hypertelorism	NAME (j=0.50)	Interpupillary distance more than 2 SD above the mean (alternatively, the appearance of an increased interpupillary distance or widely spaced eyes).			
rounded face	2	craniofacial							
abnormal palmar creases	2	limbs	HP:0000954	Single transverse palmar crease	EXACT (j=0.50)	The distal and proximal transverse palmar creases are merged into a single transverse palmar crease.	The presence of a single palmar crease (instead of the two palmar creases that are typically present).		
gastrointestinal reflux	2	abdomen							
renal and urinary tract anomalies	2	genitourinary	HP:0000079	Abnormality of the urinary system	EXACT (j=0.75)	An abnormality of the urinary system.			
brachymetacarpy	2	limbs							
monodactyly	2	limbs	HP:0004058	Hand monodactyly	NAME (j=0.50)				
postnatal onset short stature	2	growth	HP:0004322	Short stature	NAME (j=0.50)	"A height below that which is expected according to age and gender norms. Although there is no universally accepted definition of short stature, many refer to \""short stature\"" as height more than 2 standard deviations below the mean for age and gender (or below the 3rd percentile for age and gender "			
sparse arched eyebrows	2	craniofacial	HP:0002553	Highly arched eyebrow	EXACT (j=0.67)	Increased height of the central portion of the eyebrow, forming a crescent, semicircular, or inverted U shape.	Most eyebrows have some arch with downturning medially and laterally.		
hypoplastic notched nares	2	craniofacial	HP:0000430	Underdeveloped nasal alae	EXACT (j=0.67)	Thinned, deficient, or excessively arched ala nasi.	The alae nasi are the lateral portions of the nose or the wings of the nostrils, which partly encircle the nostrils (nares). They are usually about the width of the columella, but vary greatly dependi		
kidney and urinary tract anomalies	2	genitourinary	HP:0000079	Abnormality of the urinary system	EXACT (j=0.75)	An abnormality of the urinary system.			
autistic features	2	neuro							
long narrow face	2	craniofacial	HP:0000275	Narrow face	NAME (j=0.67)	Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).	Objective measurement of the upper facial width is made with spreading calipers. The tips of the calipers are passed over the zygomatic arches until the maximum width is determined. Objective measurem		
large low-set posteriorly rotated ears	2	ears	HP:0000358	Posteriorly rotated ears	NAME (j=0.60)	A type of abnormal location of the ears in which the position of the ears is characterized by posterior rotation (the superior part of the ears is rotated towards the back of the head, and the inferior part of the ears towards the front).	Angle formed by the line perpendicular to the Frankfurt plane and the medial longitudinal axis of the ear (the two most remote points of the ear) greater than two standard deviations above the mean fo		
long smooth philtrum	2	mouth	HP:0000319	Smooth philtrum	NAME (j=0.67)	Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border.	There is a spectrum of this finding from total absence of the philtral ridges to a some prominence of the ridges. The central groove varies from absent to shallow. Normal values for the frequency of s		
cafe au lait macules	2	skin	HP:0000957	Cafe-au-lait spot	EXACT (j=0.60)	Cafe-au-lait spots are hyperpigmented lesions that can vary in color from light brown to dark brown with smooth borders and having a size of 1.5 cm or more in adults and 0.5 cm or more in children.	The phrase cafe-au-lait comes from the French word for milk-coffee. A single cafe-au-lait spot can be an isolated finding in otherwise normal individuals. Multiple cafe-au-lait spots often indicate th		
large prominent ears	2	ears	HP:0000400	Macrotia	EXACT (j=0.67)	Median longitudinal ear length greater than two standard deviations above the mean and median ear width greater than two standard deviations above the mean (objective); or, apparent increase in length and width of the pinna (subjective).	This is acknowledged to be a bundled term but retained here because of its usefulness in practice. Ear length is determined by the maximal distance from the superior aspect to the inferior aspect of t		
deep palmar and plantar creases	2	skin	HP:0001869	Deep plantar creases	NAME (j=0.75)	The presence of unusually deep creases (ridges/wrinkles) on the skin of sole of foot.			
prominent dysplastic ears	2	ears	HP:0000377	Abnormal pinna morphology	EXACT (j=0.67)	An abnormality of the pinna, which is also referred to as the auricle or external ear.	The term 'dysplastic' is no longer accepted as a descriptor for an ear with unusual morphology. Each specific anatomical component of the ear should be described when the ear is thought to be abnormal		
strabismus or amblyopia	2	eyes	HP:0000486	Strabismus	NAME (j=0.50)	A misalignment of the eyes so that the visual axes deviate from bifoveal fixation. The classification of strabismus may be based on a number of features including the relative position of the eyes, whether the deviation is latent or manifest, intermittent or constant, concomitant or otherwise and ac			
microbrachycephaly	2	craniofacial							
short incurved fifth finger	2	limbs	HP:0009237	Short 5th finger	EXACT (j=0.75)	Hypoplasia (congenital reduction in size) of the fifth finger, also known as the little finger.			
malignancy	2	other							
hypoplastic ala nasi	2	craniofacial	HP:0000430	Underdeveloped nasal alae	EXACT (j=0.50)	Thinned, deficient, or excessively arched ala nasi.	The alae nasi are the lateral portions of the nose or the wings of the nostrils, which partly encircle the nostrils (nares). They are usually about the width of the columella, but vary greatly dependi		
prominent heels	2	limbs	HP:0012428	Prominent calcaneus	EXACT (j=0.67)	Protruding heel bone, or calcaneus.			
decreased retinal pigmentation	2	eyes	HP:0005590	Spotty hypopigmentation	EXACT (j=0.50)				
cutaneous nevi	2	skin	HP:0003764	Nevus	RELATED (j=0.50)	A nevus is a type of hamartoma that is a circumscribed stable malformation of the skin.	The word Nevus derives from the Latin word Knee-vus meaning birthmark or mole.		
missing teeth	2	mouth	HP:0000674	Anodontia	RELATED (j=0.67)	The absence of all teeth from the normal series by a failure to develop.	Anodontia can affect both primary and permanent teeth. Alternatively, there can be anodontia of just the permanent teeth. Anodontia must be distinguished from non-erupted teeth.	PARENT:HP:0009804	Tooth agenesis — hypodontie ou anodontie, le livre ne tranche pas
malignancies	2	other							
neonatal cholestasis	2	abdomen	HP:0001396	Cholestasis	NAME (j=0.50)	Impairment of bile flow due to obstruction in bile ducts.			
prematurity	2	other	HP:0034236	Apnea of prematurity	NAME (j=0.50)	Recurrent episodes of apnea occurring in infants born less than 37 weeks of gestation, defined specifically as a pause of breathing for more than 15-20 s, or accompanied by oxygen desaturation (SpO2 not more than 80% for at least 4 s) and bradycardia (heart rate less than 2/3 of baseline for at leas			
deep sacral dimple	2	skeletal	HP:0000960	Sacral dimple	NAME (j=0.67)	A cutaneous indentation resulting from tethering of the skin to underlying structures (bone) of the intergluteal cleft.			
hydrocephalus secondary to aqueductal stenosis	2	neuro	HP:0002410	Aqueductal stenosis	NAME (j=0.50)	Stenosis of the cerebral aqueduct (also known as the mesencephalic duct, aqueductus mesencephali, or aqueduct of Sylvius), which connects the third cerebral ventricle in the diencephalon to the fourth ventricle, which is between the pons and cerebellum.			
tortuosity of retinal vessels	2	eyes	HP:0007768	Central retinal vessel vascular tortuosity	EXACT (j=0.75)	The presence of an increased number of twists and turns of retinal blood vessels (arteries, arterioles, veins, venules).			
inguinal or umbilical hernia	2	abdomen	HP:0000023	Inguinal hernia	NAME (j=0.67)	Protrusion of the contents of the abdominal cavity through the inguinal canal.	Inguinal hernia appears as a bulge in the groin.		
atrioventricular canal	2	heart	HP:0001674	Complete atrioventricular canal defect	EXACT (j=0.67)	A congenital heart defect characterized by a specific combination of heart defects with a common atrioventricular valve, primum atrial septal defect and inlet ventricular septal defect.	The complete form of AVC shows an ostium primum atrial septal defect, a common atrioventricular valve and a variable deficiency of the interventricular septum inlet. CAVC can be classified into types 		
prominent corneal nerves	2	eyes	HP:0010726	Prominent corneal nerve fibers	NAME (j=0.75)	Abnormal prominence of the corneal nerve fibers.			
thin deep-set nails	2	skin	HP:0001814	Deep-set nails	NAME (j=0.67)	Deeply placed nails.			
increased anteroposterior diameter of chest	2	thorax	HP:0005253	Increased anterioposterior diameter of thorax	EXACT (j=0.60)				
small upturned nose	2	craniofacial	HP:0000463	Anteverted nares	EXACT (j=0.67)	Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip).	The tip of the nose is upturned and is positioned superiorly to the nasal base, allowing the nares to be easily visualized from the front. With maturation and growth of the nasal ridge and tip, the na		
perthes disease	2	skeletal							
sparse eyelashes and eyebrows	2	skin	HP:0000653	Sparse eyelashes	NAME (j=0.67)	Decreased density/number of eyelashes.			
absence of mesentery	2	abdomen							
joint limitation	2	skeletal	HP:0001376	Limitation of joint mobility	NAME (j=0.67)	A reduction in the freedom of movement of one or more joints.			
hyperkeratotic lesions	2	skin							
cervical spine anomalies	2	skeletal	HP:0002949	Fused cervical vertebrae	EXACT (j=0.50)	A congenital anomaly characterized by a joining (fusion) of two or more cervical vertebral bodies with one another.			
broad proximal phalanges	2	limbs	HP:0009852	Broad proximal phalanges of the hand	NAME (j=0.75)	Increased width of the proximal phalanges of the finger.			
tethered spinal cord	2	neuro	HP:0002144	Tethered cord	NAME (j=0.67)	During normal embryological development, the spinal cord first occupies the entire length of the vertebral column but goes on to assume a position at the level of L1 due to differential growth of the conus medullaris and the vertebral column. The filum terminale is a slender, threadlike structure th			
metopic ridge	2	craniofacial	HP:0005487	Prominent metopic ridge	NAME (j=0.67)	Vertical bony ridge positioned in the midline of the forehead.	The ridge may extend from the hairline to the glabella or may be partial. The frontal suture of the skull is a dense connective tissue structure that divides the two halves of the frontal bone of the 		
indentations on posterior rim of helix	2	ears							
posterior fossa brain anomalies	2	neuro	HP:0000932	Abnormal posterior cranial fossa morphology	EXACT (j=0.75)	An abnormality of the fossa cranii posterior (the posterior fossa), which is made up primarily of the occipital bone and which surrounds to the foramen magnum.	The floor of the cranial cavity is divided into three distinct depressions called the anterior, middle, and posterior cranial fossa. The posterior cranial fossa, the most posterior and deep of the thr		
prenatal overgrowth	2	growth	HP:0001548	Overgrowth	NAME (j=0.50)	Excessive postnatal growth which may comprise increased weight, increased length, and/or increased head circumference.			
hip involvement	2	limbs							
peripheral hypertonia	2	neuro	HP:0001276	Hypertonia	NAME (j=0.50)	A condition in which there is increased muscle tone so that arms or legs, for example, are stiff and difficult to move.	Spasticity is a term that is often used interchangeably with hypertonia. Spasticity, however, is a particular type of hypertonia in which the muscles' spasms are increased by movement. In this type, p		
genital hypoplasia	2	genitourinary	HP:0003241	External genital hypoplasia	NAME (j=0.67)	Underdevelopment of part or all of the external reproductive organs.	Partial or complete failure of the genitalia to develop, often as a consequence of hypogonadism.		
undermodeling of long bones	2	skeletal	HP:0000947	Dumbbell-shaped long bone	NAME (j=0.50)	An abnormal appearance of the long bones with resemblance to a dumbbell, a short bar with a weight at each end. That is, the long bone is shortened and displays flaring (widening) of the metaphyses.			
syndactyly of fingers and toes	2	limbs	HP:0001770	Toe syndactyly	NAME (j=0.67)	"Webbing or fusion of the toes, involving soft parts only or including bone structure. Bony fusions are referred to as \""bony\"" Syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the toes in a proximo-distal axis are referred to as \""Symphalangism\""."			
defects in laterality	2	other	HP:0012831	Laterality	NAME (j=0.50)	The localization with respect to the side of the body of the specified phenotypic abnormality.			
forearm bowing	2	limbs	HP:0005891	Progressive forearm bowing	NAME (j=0.67)	Progressive bending or abnormal curvature of the forearm skeleton.			
cystic dysplasia of kidney	2	genitourinary	HP:0000107	Renal cyst	RELATED (j=0.67)	A fluid filled sac in the kidney.			
initial hypotonia	2	neuro	HP:0001252	Hypotonia	NAME (j=0.50)	Hypotonia is an abnormally low muscle tone (the amount of tension or resistance to movement in a muscle). Even when relaxed, muscles have a continuous and passive partial contraction which provides some resistance to passive stretching. Hypotonia thus manifests as diminished resistance to passive st	Hypotonia can be caused by abnormalities of the central nervous system, any element of the motor unit (including the lower motoneuron), or both. Hypotonia is not a specific diagnosis, but can be obser		
upslant to palpebral fissures	2	eyes	HP:0000494	Downslanted palpebral fissures	NAME (j=0.50)	The palpebral fissure inclination is more than two standard deviations below the mean.			
thin vermillion border	2	mouth	HP:0000233	Thin vermilion border	EXACT (j=0.67)	Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips).	The vermilion is the red part of the lips, and the vermilion border is the rim of paler skin that demarcates the vermilion from the rest of the skin of the face.		
short great toes	2	limbs	HP:0001831	Short toe	NAME (j=0.67)	A toe that appears disproportionately short compared to the foot.	This finding must be distinguished from digits that are of increased girth but of normal length and that of a long mid- and hind foot with normal digit lengths. The affected digits should be specified		
small phallus	2	genitourinary							
iris dysplasia	2	eyes							
electroencephalographic abnormalities	2	neuro							
upsweep of frontal scalp hair	2	skin	HP:0002236	Frontal upsweep of hair	NAME (j=0.75)	Upward and/or sideward growth of anterior hair.			
enlarged corpus callosum	2	neuro	HP:0001273	Abnormal corpus callosum morphology	EXACT (j=0.50)	Abnormality of the corpus callosum.	The corpus callosum, a broad thick band of nerve fibers that connects the right and left cerebral hemispheres, is the largest white matter structure in the brain. This finding can be demonstrated by c		
hypermobile joints	2	skeletal							
distal digital hypoplasia	2	limbs	HP:0005033	Distal ulnar hypoplasia	NAME (j=0.50)	Underdevelopment of the distal portion of the ulna.			
postaxial polydactyly of hands and feet	2	limbs	HP:0001162	Postaxial hand polydactyly	NAME (j=0.75)	Supernumerary digits located at the ulnar side of the hand (that is, on the side with the fifth finger).			
cystic dysplasia of kidneys	2	genitourinary	HP:0000107	Renal cyst	RELATED (j=0.67)	A fluid filled sac in the kidney.			
retinal pigmentary changes	2	eyes	HP:0001000	Abnormality of skin pigmentation	EXACT (j=0.67)	An abnormality of the pigmentation of the skin.			
conduction defects	2	heart	HP:0031546	Cardiac conduction abnormality	EXACT (j=0.67)	Any anomaly of the progression of electrical impulses through the heart.	The conduction system of the heart initiates and coordinates the electric signal that causes the rhythmic and synchronized contractions of the atria and ventricles. In higher vertebrates, this system 		
scoliosis kyphosis	2	skeletal	HP:0002650	Scoliosis	NAME (j=0.50)	The presence of an abnormal lateral curvature of the spine.			
limb reduction defects	2	limbs	HP:0006368	Forearm reduction defects	NAME (j=0.50)				
increased birth weight	2	performance	HP:0001518	Small for gestational age	EXACT (j=0.50)	Smaller than normal size according to sex and gestational age related norms, defined as a weight below the 10th percentile for the gestational age.			
upper limb defects	2	limbs	HP:0003851	Lytic defects in metaphyses of the upper limbs	NAME (j=0.60)				
sparse scalp hair eyebrows and eyelashes	2	skin	HP:0002209	Sparse scalp hair	NAME (j=0.60)	Decreased number of hairs per unit area of skin of the scalp.	Hypotrichosis should not be used as a synonym as, formally, it means underdevelopment of the hair. No normal values for number of hairs per unit area exist.		
atresia of external ear canal	2	ears	HP:0000413	Atresia of the external auditory canal	NAME (j=0.60)	Absence or failure to form of the external auditory canal.			
normal cognitive function	2	performance							
neuronal migration defects	2	neuro	HP:0002269	Abnormality of neuronal migration	NAME (j=0.50)	An abnormality resulting from an anomaly of neuronal migration, i.e., of the process by which neurons travel from their origin to their final position in the brain.			
abundant scalp hair	2	craniofacial	HP:0002209	Sparse scalp hair	NAME (j=0.50)	Decreased number of hairs per unit area of skin of the scalp.	Hypotrichosis should not be used as a synonym as, formally, it means underdevelopment of the hair. No normal values for number of hairs per unit area exist.		
umbilical or inguinal hernias	2	abdomen	HP:0000023	Inguinal hernia	NAME (j=0.67)	Protrusion of the contents of the abdominal cavity through the inguinal canal.	Inguinal hernia appears as a bulge in the groin.		
obstructive uropathy	2	genitourinary							
pre- and postaxial polydactyly	2	limbs	HP:0100259	Postaxial polydactyly	NAME (j=0.67)	A form of polydactyly in which the extra digit or digits are localized on the side of the fifth finger or fifth toe.			
pseudoclubbing	2	limbs							
frontal and occipital prominence	2	craniofacial	HP:0011220	Prominent forehead	EXACT (j=0.50)	Forward prominence of the entire forehead, due to protrusion of the frontal bone.	Not to be confused with frontal bossing.		
defects of neuronal migration	2	neuro	HP:0002269	Abnormality of neuronal migration	NAME (j=0.50)	An abnormality resulting from an anomaly of neuronal migration, i.e., of the process by which neurons travel from their origin to their final position in the brain.			
tibial hemimelia	2	limbs							
anal atresia stenosis	2	abdomen	HP:0002023	Anal atresia	NAME (j=0.67)	Congenital absence of the anus, i.e., the opening at the bottom end of the intestinal tract.			
cardiac septal defects	2	heart	HP:0001671	Abnormal cardiac septum morphology	EXACT (j=0.67)	An anomaly of the intra-atrial or intraventricular septum.			
absence of multiple fingers	2	limbs	HP:0011299	Partial absence of finger	NAME (j=0.50)	The absence of a phalangeal segment of a finger.	The part that is absent may be specified. The distal modifier specifies the loss of the distal phalanx; clinically this is defined by the absence of the nail. The proximal modifier specifies the loss 		
hypoplastic scaphoid	2	limbs							
hypoplastic finger and toenails	2	skin	HP:0001800	Hypoplastic toenails	NAME (j=0.67)	Underdevelopment of the toenail.			
bowed tibiae	2	limbs							
full forehead	2	craniofacial							
delayed calvarial ossification	2	skeletal	HP:0001216	Delayed ossification of carpal bones	EXACT (j=0.50)	Ossification of carpal bones occurs later than age-adjusted norms.			
metaphyseal irregularities of long bones	2	limbs	HP:0003015	Flared metaphysis	EXACT (j=0.60)	The presence of a splayed (i.e.,flared) metaphyseal segment of one or more long bones.	Figure 11 of PMID:12853662 shows metaphyseal flaring.		
double-outlet left ventricle	2	heart	HP:0001711	Abnormal left ventricle morphology	EXACT (j=0.50)	Any structural abnormality of the left ventricle of the heart.			
hypoplastic right heart	2	heart	HP:0010954	Hypoplastic right ventricle	EXACT (j=0.75)	Underdevelopment of the right ventricle.	Hypoplastic right ventricle generally occurs as part of the Hypoplastic right heart syndrome (HRHS), which causes inadequate blood flow to the lungs postnatally and thus leads to cyanosis. HRHS involv		
defects of cloacal development	2	genitourinary							
sex-reversal	2	genitourinary							
short flat nose	2	craniofacial	HP:0000457	Depressed nasal ridge	EXACT (j=0.67)	Lack of prominence of the nose resulting from a posteriorly-placed nasal ridge.	The adjective 'depressed' here does not indicate an active process but a status. The feature should be assessed in a profile view. This finding is typically associated with a Short columella, but this		
low-set small malformed ears	2	ears	HP:0000369	Low-set ears	NAME (j=0.50)	Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.			
disproportionately short oval-shaped tibiae	2	limbs	HP:0005736	Short tibia	EXACT (j=0.50)	Underdevelopment (reduced size) of the tibia.			
short rounded metacarpals and metatarsals	2	limbs	HP:0006161	Short metacarpals with rounded proximal ends	NAME (j=0.50)				
hypoplasia of epiglottis and larynx	2	neck	HP:0005349	Hypoplasia of the epiglottis	NAME (j=0.67)	Hypoplasia of the epiglottis.			
focal dilatation of distal tubules of kidney	2	genitourinary							
small vermis	2	neuro							
persisting left superior vena cava	2	heart	HP:0005301	Persistent left superior vena cava	NAME (j=0.67)	A rare congenital vascular anomaly that results when the left superior cardinal vein caudal to the innominate vein fails to regress.			
midline cleft lip and palate	2	craniofacial	HP:0000161	Median cleft upper lip	EXACT (j=0.75)	A type of cleft lip presenting as a midline (median) gap in the upper lip.			
small thoracic cage	2	thorax	HP:6000327	Thoracic cage flatness	NAME (j=0.50)	The anteroposterior dimension of the chest on the lateral radiograph is often relatively narrow compared with the chest width on the frontal radiograph.			
narrow nasal passages	2	craniofacial	HP:0000418	Narrow nasal ridge	NAME (j=0.50)	Decreased width of the nasal ridge.	This feature may be accompanied by narrow nasal bridge and narrow nasal base, which should be coded separately.		
mild metaphyseal flare	2	limbs							
small irregular epiphyses	2	skeletal	HP:0010582	Irregular epiphyses	NAME (j=0.67)	An alteration of the normally smooth contour of the epiphysis leading to an irregular appearance.			
bowed lower extremities	2	limbs	HP:0002061	Lower limb spasticity	EXACT (j=0.50)	Spasticity (velocity-dependent increase in tonic stretch reflexes with increased muscle tone and hyperexcitable tendon reflexes) in the muscles of the lower limbs, hips, and pelvis.			
numbness or tingling of the limbs	2	neuro							
short metacarpals and phalanges	2	limbs	HP:0009803	Short phalanx of finger	EXACT (j=0.67)	Short (hypoplastic) phalanx of finger, affecting one or more phalanges.			
dumbbell-shaped femora	2	skeletal							
dorsal kyphosis	2	skeletal	HP:0002808	Kyphosis	NAME (j=0.50)	Exaggerated anterior convexity of the thoracic vertebral column.			
knock-knee	2	limbs							
flattening of femoral head	2	limbs	HP:0001357	Plagiocephaly	NARROW (j=0.67)	Asymmetric head shape, which is usually a combination of unilateral occipital flattening with ipsilateral frontal prominence, leading to rhomboid cranial shape.	Plagiocephaly may affect the posterior skull alone. With plagiocephaly, one can see a combination of unilateral occipital flattening with ipsilateral frontal prominence, leading to rhomboid cranial sh		
hexadactyly	2	limbs	HP:0100259	Postaxial polydactyly	EXACT (j=0.50)	A form of polydactyly in which the extra digit or digits are localized on the side of the fifth finger or fifth toe.			
decreased bone density	2	skeletal	HP:0004349	Reduced bone mineral density	EXACT (j=0.75)	A reduction of bone mineral density, that is, of the amount of matter per cubic centimeter of bones.			
cranial nerve deficits	2	neuro	HP:0001291	Abnormal cranial nerve morphology	EXACT (j=0.50)	Structural abnormality affecting one or more of the cranial nerves, which emerge directly from the brain stem.			
obtuse mandibular angle	2	skeletal	HP:0005446	Obtuse angle of mandible	NAME (j=0.50)	Abnormally flat (obtuse) angle of the mandible. The angle of the mandibular, located at the junction between the body and the ramus of the mandible, is normally close to being a right angle. This terms describes an abnormal increase of this angle such that the mandible appears flatter than normal.	See PMID:17213440 Figure 1G for an example of an obtuse mandibular angle.		
airway compromise	2	thorax							
clavicular dysplasia	2	skeletal							
prominent ear crus	2	ears	HP:0000411	Protruding ear	EXACT (j=0.67)	Angle formed by the plane of the ear and the mastoid bone greater than the 97th centile for age (objective); or, outer edge of the helix more than 2 cm from the mastoid at the point of maximum distance (objective).			
fluctuating hearing loss	2	ears	HP:0000365	Hearing impairment	RELATED (j=0.67)	A decreased magnitude of the sensory perception of sound.	Hearing loss can be categorized by which part of the auditory system is damaged, as conductive hearing loss, sensorineural hearing loss, and mixed hearing loss. Another axis of classification uses the		
sacrococcygeal eversion resembling a human tail	2	other	HP:0002825	Caudal appendage	EXACT (j=0.40)	The presence of a tail-like skin appendage located adjacent to the sacrum.			
radiohumeral synostosis	2	limbs	HP:0003041	Humeroradial synostosis	EXACT (j=0.67)	An abnormal osseous union (fusion) between the radius and the humerus.			
gastrointestinal anomalies	2	abdomen							
refractive visual errors	2	eyes							
learning disability	2	neuro	HP:0001328	Specific learning disability	NAME (j=0.67)	Impairment of certain skills such as reading or writing, coordination, self-control, or attention that interfere with the ability to learn. The impairment is not related to a global deficiency of intelligence.	The term learning disability is used with different meanings in different contexts. Significant impairments of mental functioning with a reduction in IQ below 70 should be coded as mental retardation.		
orbital dystopia	2	eyes	HP:0030867	Vertical orbital dystopia	NAME (j=0.67)	The orbits do not lie on the same horizontal plane, that is, one eye is lower than the other.			
blurring of disk margins	2	eyes							
brachydactyly of hands	2	limbs	HP:0001156	Brachydactyly	NAME (j=0.50)	Digits that appear disproportionately short compared to the hand/foot. The word brachydactyly is used here to describe a series distinct patterns of shortened digits (brachydactyly types A-E). This is the sense used here.			
anterior anus	2	abdomen							
prenatal and postnatal growth deficiency	2	growth	HP:0001511	Intrauterine growth retardation	EXACT (j=0.75)	An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age.	Intrauterine growth restriction is a newer term that is preferred over Intrauterine growth retardation. The causes of IUGR include maternal abnormalities (chronic hypertension, cyanotic heart disease,		
short arms and legs	2	limbs	HP:0006385	Short lower limbs	EXACT (j=0.67)	Shortening of the legs related to developmental hypoplasia of the bones of the leg.			
abnormal femoral neck	2	limbs	HP:0003367	Abnormal femoral neck morphology	NAME (j=0.75)	An abnormality of the femoral neck (which is the process of bone, connecting the femoral head with the femoral shaft).			
increased mandibular angle	2	craniofacial	HP:0003102	Increased carrying angle	NAME (j=0.50)	An abnormal increase in the carrying angle, which is the angle he long axis of the extended forearm as it lies lateral to the long axis of the arm.	Anatomically, the carrying angle in human adults is approximately 10 degrees in men and 13 degrees in women. Increasing the carrying angle may lead to elbow instability and pain during exercise or in 		
thoracic deformity	2	thorax							
short neck and trunk	2	skeletal	HP:0000470	Short neck	NAME (j=0.67)	Diminished length of the neck.			
long slim limbs	2	limbs							
bowing of femora	2	limbs							
wrinkled palms	2	skin	HP:0007517	Palmoplantar cutis laxa	EXACT (j=0.67)	Loose, wrinkled skin of hands and feet.			
characteristic facial appearance	2	craniofacial	HP:0000280	Coarse facial features	EXACT (j=0.50)	Absence of fine and sharp appearance of brows, nose, lips, mouth, and chin, usually because of rounded and heavy features or thickened skin with or without thickening of subcutaneous and bony tissues.			
multiple early fractures	2	skeletal	HP:0002757	Recurrent fractures	EXACT (j=0.67)	The repeated occurrence of bone fractures (implying an abnormally increased tendency for fracture).	This term will be made obsolete. The annotations need to be checked.		
tall broad forehead	2	craniofacial	HP:0000337	Broad forehead	NAME (j=0.67)	Width of the forehead or distance between the frontotemporales is more than two standard deviations above the mean (objective); or apparently increased distance between the two sides of the forehead.	Frontotemporalis is a point lateral to the vertical component of the supraorbital ridge, where there is a hollowing. Spreading caliper tips are placed in the deepest part of that hollow. Note that thi		
hypoplastic supraorbital margins	2	craniofacial	HP:0000336	Prominent supraorbital ridges	EXACT (j=0.50)	Greater than average forward and/or lateral protrusion of the supraorbital portion of the frontal bones.			
jowly double-chinned appearance	2	craniofacial							
translucent and redundant facial skin	2	skin	HP:0001582	Redundant skin	NAME (j=0.50)	Loose and sagging skin often associated with loss of skin elasticity.			
prominent upper central incisors	2	mouth	HP:0000675	Macrodontia of permanent maxillary central incisor	EXACT (j=0.75)	Increased size of the maxillary central secondary incisor tooth.			
blood vessels visible through the skin	2	skin							
venous varicosities	2	skin	HP:0002626	Venous varicosities of celiac and mesenteric vessels	NAME (j=0.40)	Elongated and tortuous mesenteric veins, which comprise the inferior mesenteric vein and the superior mesenteric vein.			
friable skin with minor trauma	2	skin							
wide and atrophic scars	2	skin	HP:0001075	Atrophic scars	NAME (j=0.67)	Scars that form a depression compared to the level of the surrounding skin because of damage to the collagen, fat or other tissues below the skin.			
rupture of vessels with minor trauma and surgery	2	heart							
rupture of spleen and bowel	2	abdomen							
rupture of uterine arteries	2	genitourinary	HP:0100718	Uterine rupture	NAME (j=0.67)				
subtle marfanoid habitus	2	skeletal	HP:0001519	Disproportionate tall stature	EXACT (j=0.67)	A tall and slim body build with increased arm span to height ratio (>1.05) and a reduced upper-to-lower segment ratio (<0.85), i.e., unusually long arms and legs. The extremities as well as the hands and feet are unusually slim.			
usually normal intelligence	2	neuro							
irregular placement of teeth	2	mouth	HP:0040079	Irregular dentition	EXACT (j=0.67)				
