organe_llm	signe	n_syndromes	syndromes
placenta	lysosomal inclusions	1	FAMILLE Hydrops fetalis non immun
placenta	numerous circulating blasts, immature megakaryocytes, and other marrow precursors	1	A Down Syndrome (Trisomy 21 Syndrome)
placenta	smudged amphophilic, intranuclear inclusion bodies in normoblast nuclei	1	FAMILLE Hydrops fetalis non immun
placenta	subchorionic tuberous hematoma	1	A 45X Syndrome (XO Syndrome, Turner Syndrome)
rectum	enlarged ganglionic myenteric plexus	2	25.8 Nager Syndrome (MIM 154400, 201170) ; H Treacher Collins Syndrome  (Mandibulofacial Dysostosis, Franceschetti-Klein Syndrome)
rein	persistance dans la médullaire de tubes collecteurs inter-kystiques normaux, non dilatés	1	T Bardet-Biedl Syndrome
resting cartilage	hypercellular cartilage with large chondrocytes and centrally located nucleus	1	7.3 Schneckenbecken Dysplasia (MIM 269250)
resting cartilage	multinucleated chondrocytes in the resting cartilage	1	K Boomerang Dysplasia
resting cartilage	multinucleated large chondrocytes	1	K Boomerang Dysplasia
retina	hyperplastic rpe cells	1	U Caudal Dysplasia Sequence (Caudal Regression Syndrome)
retina	knob-like retinal excrescences	1	A Trisomy 13 Syndrome (Patau Syndrome)
retina	retinal dystrophy	1	FAMILLE Ciliopathies
retina	retinal excrescences	1	A Trisomy 18 Syndrome
retina	retinal folds	1	A Trisomy 18 Syndrome
retina	retinal ganglion cells containing membranous cytoplasmic bodies	1	FAMILLE Mucopolysaccharidoses
retina	retinal rosettes	2	A Trisomy 13 Syndrome (Patau Syndrome) ; FAMILLE Holoprosencéphalies
retina and choroid	retinal folds and excrescences with congestion of the choroidal vessels	1	A Trisomy 18 Syndrome
retinal pigment epithelium	hyperplastic retinal pigment epithelium	1	G Walker-Warburg Syndrome  (Hard ± E Syndrome, Warburg Syndrome)
sclera	cartilaginous choristoma in the sclera	1	V Oculo-Auriculo-Vertebral Spectrum  (First and Second Branchial Arch Syndrome, Facio-Auriculo-Vertebral Spectrum, Hemifacial Microsomia, Goldenhar Syndrome)
skeletal muscle	hyaline deposition in skeletal muscle	1	18.2 Hyaline Fibromatosis (MIM 228600)
skeletal muscle	interstitial parenchymal fibrosis of the skeletal muscle	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	amorphous eosinophilic substance that is periodic acid-schiff positive	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	bar of mature cartilage within the fat	1	V Oculo-Auriculo-Vertebral Spectrum  (First and Second Branchial Arch Syndrome, Facio-Auriculo-Vertebral Spectrum, Hemifacial Microsomia, Goldenhar Syndrome)
skin	boxy papillomatosis, with hyperkeratosis and variable acanthosis	1	Q Linear Sebaceous Nevus Sequence  (Nevus Sebaceus of Jadassohn, Epidermal Nevus Syndrome)
skin	bulla formation	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
skin	characteristic brown metachromasia in schwann cells	1	FAMILLE Dystroglycanopathies
skin	collagen flowers	1	P Ehlers-Danlos Syndrome
skin	decreased elastic tissue and atrophic appendages	1	E Progeria Syndrome (Hutchinson-Gilford Syndrome)
skin	dermal fibrosis and hemosiderin deposition	1	P Ehlers-Danlos Syndrome
skin	dilated ostial hyperkeratosis of the hair follicle with keratin calcium deposits	5	10.1 Greenberg Dysplasia (MIM 215140) ; 10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497) ; 10.7 Chondrodysplasia Punctata, Tibia- Metacarpal Type (MIM 118651) ; K Autosomal Recessive Chondrodysplasia Punctata (Chondrodysplasia Punctata, Rhizomelic Type)
skin	dyskeratotic cells within the epidermis	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
skin	eosinophilic infiltration	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
skin	epidermal atrophy, pigment incontinence, and a prominent superficial perivascular plexus with limited lymphocytic infiltrate	1	25.3 Ectrodactyly, Ectodermal Dysplasia, and Cleft Lip/Palate Syndrome (MIM 129900, 604292)
skin	extracellular melanin granules	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
skin	fine candelabra-like fibers in the upper dermis are missing	1	14.14 Geroderma Osteodysplasticum (MIM 231070)
skin	hyaline deposition in the dermis	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	hyaline material accumulation in the dermis	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	hyaline material in the dermis	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	hyperkeratosis, irregular acanthosis, and papillomatosis	1	Q Linear Sebaceous Nevus Sequence  (Nevus Sebaceus of Jadassohn, Epidermal Nevus Syndrome)
skin	increased melanocytes are observed at the epidermal-dermal junction	1	Q Peutz-Jeghers Syndrome
skin	large globular elastin deposits that are separate from the microfibrillar bundles	1	14.14 Geroderma Osteodysplasticum (MIM 231070)
skin	melanin within dermal macrophages	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
skin	multiple cleavage planes	1	FAMILLE Épidermolyses bulleuses
skin	porokeratosis	1	FAMILLE Spranger 20 — polytopic dysostoses
skin	reduction or absence of small nerve fibers	1	P Ehlers-Danlos Syndrome
skin	skin appendages are malformed and irregular	1	Q Linear Sebaceous Nevus Sequence  (Nevus Sebaceus of Jadassohn, Epidermal Nevus Syndrome)
skin	spindle-shaped fibroblasts dispersed in abundant amounts of hyaline material	1	18.2 Hyaline Fibromatosis (MIM 228600)
skin	thin epidermis without papillary relief	1	E Progeria Syndrome (Hutchinson-Gilford Syndrome)
skin	unique ultrastructural features of storage inclusion in schwann cells	1	FAMILLE Dystroglycanopathies
skin, liver, trachea, and heart	lysosomal-like pas-positive vacuoles	3	13.14 Geleophysic Dysplasia (MIM 231050) ; 13.15 Acromicric Dysplasia (MIM 102370) ; K Geleophysic Dysplasia
spinal cord	scarring of the spinal cord	1	S Fetal Varicella Syndrome
spinal cord	tethering of the lower end of the cord, often in association with lipoma	1	U Occult Spinal Dysraphism Sequence  (Tethered Cord Malformation Sequence)
spinal cord	thickening of the filum terminale	1	U Occult Spinal Dysraphism Sequence  (Tethered Cord Malformation Sequence)
spleen	hyaline deposition in the spleen	1	18.2 Hyaline Fibromatosis (MIM 228600)
testis	diffuse intratubular calcifications	1	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)
thymus	hyaline deposition in the thymus	1	18.2 Hyaline Fibromatosis (MIM 228600)
thyroid	hyaline deposition in the thyroid	1	18.2 Hyaline Fibromatosis (MIM 228600)
thyroid gland	increased number of diffusely scattered or clustered c cells	1	Q Multiple Endocrine Neoplasia, Type 2B  (Multiple Neuroma Syndrome)
tissue	excess of megakaryoblasts associated with local fibrosis	1	A Down Syndrome (Trisomy 21 Syndrome)
trachea	solid cartilaginous sleeve	2	Craniosynostosis Syndromes ; FAMILLE Craniosynostoses syndromiques
tronc cérébral	altération des noyaux du xii	1	H Robin Sequence (Pierre Robin Syndrome)
tronc cérébral	atrophie des faisceaux cortico-spinaux	1	FAMILLE Arthrogryposes
umbilical cord	umbilical cord ulceration	1	A Down Syndrome (Trisomy 21 Syndrome)
valve leaflets	large numbers of clear cells	1	FAMILLE Mucopolysaccharidoses
white matter	white matter degeneration	1	G Zellweger Syndrome (Cerebro-Hepato-Renal Syndrome)
