id	niveau	lesion	site	qualifieurs	pattern	compartiment	label_fr	doute
FOETO:PP.PLA-MET-024	element	vacuolisation endothéliale	capillaire villositaire			placenta	Vacuolisation de l'endothélium capillaire villositaire	
FOETO:PP.PLA-MET-025	element	vacuolisation épithéliale	épithélium amniotique			placenta	Vacuolisation de l'épithélium amniotique	
FOETO:PP.PLA-MET-026	element	vacuolisation des fibrocytes	cordon ombilical			placenta	Vacuolisation des fibrocytes du cordon ombilical	
FOETO:PP.PLA-NOR-193	maturation		villosité intermédiaire mature			placenta	Villosité intermédiaire mature	
FOETO:PP.PLA-NOR-194	maturation		villosité mésenchymateuse			placenta	Villosité mésenchymateuse	
FOETO:PP.PLA-NOR-195	structure		villosité souche			placenta	Villosité souche	
FOETO:PP.PLA-NOR-196	maturation		villosité terminale			placenta	Villosité terminale	
FOETO:PP.PLA-NOR-197	structure		villosité d'ancrage			placenta	Villosités d'ancrage dans la plaque basale	
FOETO:PP.PLA-NOR-198	maturation	proportion augmentée de villosités intermédiaires	villosité intermédiaire	augmenté		placenta	Villosités intermédiaires en proportion augmentée	libellé quantitatif sans précision de type (immature/mature) ni de seuil
FOETO:PP.PLA-NOR-199	maturation		villosité intermédiaire immature			placenta	Villosités intermédiaires immatures	
FOETO:PP.PLA-NOR-200	maturation		villosité intermédiaire immature	aspect histologique		placenta	Villosités intermédiaires immatures — aspect histologique	mention 'aspect histologique' purement descriptive, n'ajoute pas de contenu factorisable
FOETO:PP.PLA-NOR-201	maturation		villosité intermédiaire mature			placenta	Villosités intermédiaires matures	
FOETO:PP.PLA-NOR-202	maturation		villosité intermédiaire mature	aspect histologique		placenta	Villosités intermédiaires matures — aspect histologique	mention 'aspect histologique' purement descriptive, n'ajoute pas de contenu factorisable
FOETO:PP.PLA-NOR-203	maturation		villosité mésenchymateuse			placenta	Villosités mésenchymateuses	
FOETO:PP.PLA-NOR-204	maturation		villosité mésenchymateuse	aspect histologique		placenta	Villosités mésenchymateuses — aspect histologique	mention 'aspect histologique' purement descriptive, n'ajoute pas de contenu factorisable
FOETO:PP.PLA-NOR-205	structure		villosité souche			placenta	Villosités souches (villi souches)	
FOETO:PP.PLA-NOR-206	structure		villosité souche	aspect histologique		placenta	Villosités souches — aspect histologique	mention 'aspect histologique' purement descriptive, n'ajoute pas de contenu factorisable
FOETO:PP.PLA-NOR-207	maturation		villosité terminale			placenta	Villosités terminales	
FOETO:PP.PBA-VAS-001	entite	artériopathie	artère déciduale de la plaque basale			plaque_basale	Artériopathie déciduale de la plaque basale	libellé générique : ne précise pas le type d'artériopathie (nécrose fibrinoïde, athérose, hypertrophie musculaire)
FOETO:PP.PBA-VAS-002	element	nécrose fibrinoïde pariétale	artère déciduale			plaque_basale	Nécrose fibrinoïde de la paroi artérielle déciduale	
FOETO:PP.PBA-VAS-003	entite	hématome rétroplacentaire	plaque basale			plaque_basale	Hématome rétroplacentaire basal	
FOETO:PP.PCH-INF-001	element	chorionite	région sous-choriale	aigu		plaque_choriale	Chorionite subchoriale aiguë	
FOETO:PP.PCH-INF-002	entite	chorioamniotite	plaque choriale	aigu	chorioamnionite	plaque_choriale	Chorioamniotite aiguë de la plaque choriale	
FOETO:PP.PCH-MET-001	element	dépôt de fibrinoïde	espace sous-chorial			plaque_choriale	Dépôts de fibrinoïde sous-choriaux	
FOETO:PP.PCH-NOR-000	structure		plaque choriale	normal		plaque_choriale	Plaque choriale normale	
FOETO:PP.PCH-NOR-001	structure	coussinet myxoïde intimal	vaisseau de la plaque choriale			plaque_choriale	Coussinets myxoïdes intimaux des vaisseaux de la plaque choriale	aspect classé comme variante normale, pas comme lésion : niveau ambigu entre structure et élément
FOETO:PP.PCH-VAS-001	element	thrombose	vaisseau de la plaque choriale			plaque_choriale	Thrombus de la plaque choriale	
FOETO:PP.PCH-VAS-002	element	épaississement pariétal avec ectasie luminale	vaisseau de la plaque choriale			plaque_choriale	Vaisseau de la plaque choriale à paroi épaisse et ectasique	
FOETO:PP.PCH-VAS-003	entite	thrombose	espace sous-chorial	massif		plaque_choriale	Thrombose sous-choriale massive (môle de Breus)	
FOETO:PP.PCH-VAS-004	element	asymétrie de l'épaisseur pariétale	vaisseau de la plaque choriale			plaque_choriale	Asymétrie de la paroi des vaisseaux de la plaque choriale	
FOETO:PP.VAC-INF-001	element	vascularite	vaisseau allanto-chorial	stade 1	réponse inflammatoire fœtale (FIR)	vaisseaux_allantochoriaux	Vascularite des vaisseaux allanto-choriaux (réponse fœtale stade 1)	
FOETO:PP.VAC-NOR-000	structure		vaisseau allanto-chorial	normal		vaisseaux_allantochoriaux	Vaisseaux allanto-choriaux normaux	
FOETO:PP.VAC-VAS-001	element	thrombose	vaisseau allanto-chorial			vaisseaux_allantochoriaux	Thrombose des vaisseaux allanto-choriaux	
FOETO:PP.PLA-NOR-208	maturation		villosité terminale			placenta	Villosités terminales — aspect histologique	libellé générique « aspect histologique », sans lésion ni qualifieur factorisable
FOETO:PP.PLA-NOR-209	element	élargissement villositaire en patte	villosité			placenta	Villosités élargies à aspect en patte	
FOETO:PP.PLA-NOR-210	element	vésicules extracellulaires trophoblastiques	trophoblaste			placenta	Vésicules extracellulaires trophoblastiques (exosomes / microvésicules)	entité ultrastructurale/biologique, non observable en microscopie optique de routine
FOETO:PP.PLA-NOR-211	element	altération morphologique des membranes	membranes fœtales, zone cervicale	focal		placenta	Zone d'altération morphologique des membranes (zone cervicale)	« zone d'altération morphologique » reste vague sur la nature de l'altération
FOETO:PP.PLA-NOR-212	structure		zone jonctionnelle placentaire			placenta	Zone jonctionnelle (zone de décollement placentaire)	
FOETO:PP.PLA-NOR-213	element	épaississement de la membrane basale	membrane basale trophoblastique et vasculaire villositaire			placenta	Épaississement de la membrane basale trophoblastique et vasculaire	
FOETO:PP.PLA-NOR-214	element	épaississement du syncytiotrophoblaste	syncytiotrophoblaste			placenta	Épaississement du syncytiotrophoblaste	
FOETO:PP.PLA-NOR-215	structure		épithélium amniotique			placenta	Épithélium amniotique	
FOETO:PP.PLA-NOR-216	structure		épithélium amniotique	cubique à cylindrique		placenta	Épithélium amniotique cubique à cylindrique	
FOETO:PP.PLA-NOR-217	structure		équateur vasculaire placentaire	monochorionique		placenta	Équateur vasculaire placentaire (jumeaux monochorioniques)	
FOETO:PP.PLA-NOR-218	element	érythroblastes circulants	vaisseau villositaire			placenta	Érythroblastes dans les vaisseaux fœtaux villositaires	
FOETO:PP.PLA-NOR-219	element	érythroblastes circulants	vaisseau villositaire			placenta	Érythrocytes nucléés dans la circulation villositaire fœtale	classé en axe maturation alors que le libellé décrit la même observation que le terme voisin
FOETO:PP.PLA-NOR-220	element	érythropoïèse extramédullaire	stroma villositaire			placenta	Érythropoïèse extramédullaire stromale	
FOETO:PP.PLA-NOR-221	structure		îlot cellulaire trophoblastique			placenta	Îlot cellulaire trophoblastique	
FOETO:PP.PLA-NOR-222	structure		îlot cellulaire trophoblastique			placenta	Îlots cellulaires trophoblastiques	simple variante de nombre du libellé précédent
FOETO:PP.PLA-NOR-058	element	dilatation sinusoïdale capillaire	capillaire villositaire fœtal			placenta	Dilatation sinusoïdale des capillaires fœtaux	peut correspondre à un caractère normal de maturation terminale plutôt qu'à une lésion
FOETO:PP.PLA-NOR-059	maturation	discordance de maturation villositaire	villosité	monochorionique		placenta	Discordance de maturité villositaire entre jumeaux monochorioniques	
FOETO:PP.PLA-NOR-060	structure		décidue capsulaire	membranes		placenta	Décidua capsulaire (membranes)	
FOETO:PP.PLA-NOR-061	structure		décidue pariétale			placenta	Décidua pariétale — architecture vasculaire	libellé désigne l'architecture vasculaire déciduale, repère anatomique sans lésion précisée
FOETO:PP.PLA-NOR-062	element	dédifférenciation des cellules musculaires lisses	artère villositaire			placenta	Dédifférenciation des cellules musculaires lisses artérielles villeuses	
FOETO:PP.PLA-NOR-063	element	dégénérescence ballonnisante	épithélium amniotique			placenta	Dégénérescence ballonnisante de l'épithélium amniotique	
FOETO:PP.PLA-NOR-064	element	dénudation épithéliale	syncytiotrophoblaste	focal		placenta	Dénudation focale du syncytiotrophoblaste	
FOETO:PP.PLA-NOR-065	element	dépôt de fibrine	région sous-choriale			placenta	Dépôt de fibrine sous-choriale	
FOETO:PP.PLA-NOR-066	element	dépôt de fibrinoïde	placenta			placenta	Dépôt de fibrinoïde placentaire	siège intraplacentaire non précisé, libellé générique
FOETO:PP.PLA-NOR-067	element	dépôts calciques et ferriques	membrane basale trophoblastique			placenta	Dépôts calciques et ferriques dans la membrane basale trophoblastique	
FOETO:PP.PLA-NOR-068	element	dépôt de fibrine	surface villositaire			placenta	Dépôts de fibrine sur la surface villositaire	
FOETO:PP.PLA-NOR-069	element	dépôt de fibrinoïde	plaque basale			placenta	Dépôts de fibrinoïde dans la plaque basale	
FOETO:PP.PLA-NOR-070	structure		espace intervilleux			placenta	Espace intervilleux	
FOETO:PP.PLA-NOR-071	structure		stroma villositaire			placenta	Fibres collagènes du stroma villeux	
FOETO:PP.PLA-NOR-072	structure		plaque basale			placenta	Fibrine de Rohr et fibrine de Nitabuch	libellé regroupe deux couches fibrinoïdes distinctes (Rohr, sous-trophoblastique ; Nitabuch, déciduo-trophoblastique)
FOETO:PP.PLA-INF-008	element	dégénérescence épithéliale	épithélium amniotique	induite par le méconium		placenta	Dégénérescence de l'épithélium amniotique par le méconium	
FOETO:PP.PLA-INF-009	element	dépôt de c4d	villosité	immunohistochimie		placenta	Dépôt de C4d dans les villosités (immunohistochimie)	
FOETO:PP.PLA-INF-010	element	dépôt de méconium	chorion			placenta	Dépôt de méconium dans le chorion	
FOETO:PP.PLA-INF-011	entite	funiculite nécrosante	cordon ombilical	réponse inflammatoire fœtale|stade 3		placenta	Funiculite nécrosante (stade 3 réponse fœtale)	
FOETO:PP.PLA-INF-012	entite	funiculite à micro-abcès	surface du cordon ombilical	candidosique|périphérique		placenta	Funiculite périphérique à micro-abcès (candidose)	
FOETO:PP.PLA-INF-013	entite	funiculite	cordon ombilical	aigu		placenta	Funisitis aiguë	
FOETO:PP.PLA-INF-014	entite	intervillosite histiocytaire	espace intervilleux	chronique		placenta	Histiocytose intervillositaire chronique	
FOETO:PP.PLA-INF-015	element	hyperplasie histiocytaire	chorion			placenta	Hyperplasie histiocytaire chorionique	
FOETO:PP.PLA-INF-016	element	inclusions virales cytomégaliques	placenta	cellules en œil de hibou		placenta	Inclusions cytomégalovirus placentaires (cellules en œil de hibou)	siège placentaire non précisé dans le libellé
FOETO:PP.PLA-INF-017	element	inclusions virales herpétiques	trophoblaste et décidue			placenta	Inclusions herpétiques dans le trophoblaste/caduque	
FOETO:PP.PLA-INF-018	element	inclusions virales intranucléaires et intracytoplasmiques	villosité	cytomégalovirus		placenta	Inclusions virales intranucléaires et intracytoplasmiques dans les villosités (CMV)	
FOETO:PP.PLA-INF-019	element	infiltrat de polynucléaires neutrophiles	espace intervilleux et villosité	micro-abcès		placenta	Infiltrat neutrophilique intervillositaire et intravillositaire (microabcès)	
FOETO:PP.PLA-INF-020	element	infiltrat plasmocytaire	villosité			placenta	Infiltrat plasmocytaire villositaire	
FOETO:PP.PLA-INF-021	entite	infiltrat inflammatoire	décidue	chronique		placenta	Inflammation chronique déciduale	
FOETO:PP.PLA-INF-022	entite	intervillosite	espace intervilleux	chronique|massif		placenta	Intervillite chronique massive	
FOETO:PP.PLA-DYS-037	element	stroma myxomateux	villosité			placenta	Stroma villositaire myxomateux	
FOETO:PP.PLA-DYS-038	entite	thrombohématome	espace sous-chorial			placenta	Thrombohématome sous-chorial	
FOETO:PP.PLA-DYS-039	element	thrombose	vaisseau fœtal placentaire			placenta	Thrombus vasculaire placentaire fœtal	siège vasculaire fœtal non précisé (plaque choriale, tronc villositaire ou cordon)
FOETO:PP.PLA-DYS-040	element	épaississement pariétal avec ectasie luminale	vaisseau de la plaque choriale			placenta	Vaisseau de la plaque choriale à paroi épaisse et ectasique	
FOETO:PP.PLA-DYS-041	element	épaississement pariétal vasculaire	vaisseau de villosité tronculaire			placenta	Vaisseau-tronc villositaire à paroi épaisse	
FOETO:PP.PLA-DYS-042	element	élargissement villositaire œdémateux	villosité			placenta	Villosité choriale élargie et œdémateuse	
FOETO:PP.PLA-DYS-043	element	villosité hydropique avasculaire	villosité	diffus		placenta	Villosité hydropique diffuse sans vascularisation	
FOETO:PP.PLA-DYS-044	element	élargissement villositaire avec paucité vasculaire	villosité	relatif		placenta	Villosités agrandies avec paucité vasculaire relative	
FOETO:PP.PLA-INF-001	element	inclusions virales	cellule amniotique			placenta	Cellules amniotiques infectées (inclusions virales amniotiques)	
FOETO:PP.PLA-INF-002	element	hémophagocytose	vaisseau fœtal placentaire			placenta	Cellules avec hémophagocytose dans la circulation fœtale placentaire	
FOETO:PP.PLA-INF-003	element	cellules géantes multinucléées de type langhans	villosité			placenta	Cellules géantes multinucléées de type Langhans dans les villosités	
FOETO:PP.PLA-INF-004	pattern	chorioamniotite	membranes chorio-amniotiques		chorioamnionite	placenta	Chorioamnionite	temporalité et intensité non précisées
FOETO:PP.PLA-INF-005	pattern	chorioamniotite	membranes chorio-amniotiques	aigu	chorioamnionite	placenta	Chorioamnionite aiguë	
FOETO:PP.PLA-INF-006	pattern	chorioamniotite	membranes chorio-amniotiques	chronique	chorioamnionite	placenta	Chorioamnionite chronique	
FOETO:PP.PLA-INF-007	pattern	chorioamniotite	membranes chorio-amniotiques	aigu	chorioamnionite	placenta	Chorioamniotite aiguë	libellé français orthographiquement déviant (chorioamniotite) pour un contenu de chorioamnionite aiguë
FOETO:PP.PLA-NOR-148	structure	péricytes péri-vasculaires	vaisseau villositaire	MSA-positif|prolifération vasculaire villositaire		placenta	Péricytes MSA-positifs autour des vaisseaux villositaires proliférants	libellé immunohistochimique mêlant marqueur cellulaire et contexte de prolifération vasculaire ; statut lésionnel ou normal non tranché
FOETO:PP.PLA-NOR-149	structure		placenta			placenta	Rapport poids placentaire / poids fœtal	paramètre biométrique (rapport pondéral), non factorisable en lésion/site
FOETO:PP.PLA-NOR-150	structure		reliquat du canal allantoïque du cordon ombilical			placenta	Reliquat allantoïdien dans le cordon ombilical	
FOETO:PP.PLA-NOR-151	structure		reliquat de vésicule vitelline sous-amniotique			placenta	Reliquat de vésicule vitelline sous l'amnios	
FOETO:PP.PLA-NOR-152	structure		reliquat du canal omphalo-mésentérique des membranes			placenta	Reliquat du canal omphalo-mésentérique (membranes)	
FOETO:PP.PLA-NOR-153	structure		reliquat du canal omphalo-mésentérique du cordon ombilical			placenta	Reliquat du canal vitellin (duct omphalo-mésentérique) dans le cordon	
FOETO:PP.PLA-NOR-154	structure		reliquat de vésicule vitelline	gémellaire		placenta	Reliquat du sac vitellin (placenta gémellaire)	
FOETO:PP.PLA-NOR-155	structure		reliquat de vaisseaux vitellins du cordon ombilical			placenta	Reliquat vasculaire vitellin dans le cordon ombilical	
FOETO:PP.PLA-NOR-156	structure		reliquat de vésicule vitelline			placenta	Remnant du sac vitellin	
FOETO:PP.PLA-NOR-157	maturation		artère spiralée	physiologique		placenta	Remodelage des artères spiralées — maturation de la plaque basale	libellé composite associant remodelage artériel et maturation de la plaque basale
FOETO:PP.PLA-NOR-158	maturation		artère spiralée	physiologique		placenta	Remodelage physiologique des artères spiralées	
FOETO:PP.PLA-NOR-159	structure		amnios du cordon ombilical			placenta	Revêtement épithélial amniotique du cordon ombilical	
FOETO:PP.PLA-NOR-160	element	régénération syncytiotrophoblastique	syncytiotrophoblaste			placenta	Régénération du syncytiotrophoblaste	processus réparateur plutôt que lésion élémentaire ; siège villositaire non précisé
FOETO:PP.PLA-NOR-161	element	réseau de réticuline en treillis	capillaire villositaire	anormal|coloration réticuline|en treillis		placenta	Réseau de réticuline en treillis dans les villosités capillaires anormales	nature de l'anomalie capillaire villositaire non précisée dans le libellé
FOETO:PP.PLA-NOR-162	structure		reliquat du canal allantoïque du cordon ombilical			placenta	Résidu du canal allantoïque	
FOETO:PP.PLA-DYS-022	element	kyste	septum placentaire			placenta	Kyste septal placentaire	
FOETO:PP.PLA-DYS-023	pattern		placenta		malperfusion vasculaire fœtale (FVM)	placenta	Malperfusion vasculaire fœtale placentaire	
FOETO:PP.PLA-DYS-024	element	manchon mésenchymateux	espace périvasculaire villositaire			placenta	Manchon mésenchymateux péri-vasculaire	
FOETO:PP.PLA-DYS-025	element	métaplasie malpighienne	amnios			placenta	Métaplasie malpighienne de l'amnion	
FOETO:PP.PLA-DYS-026	element	persistance de trophoblaste endovasculaire intramural	paroi vasculaire utéroplacentaire	troisième trimestre		placenta	Persistance de trophoblastes endovasculaires intramuraux au troisième trimestre	le vaisseau concerné n'est pas précisé dans le libellé (siège intramural seulement)
FOETO:PP.PLA-DYS-027	element	perte d'expression de l'actine musculaire lisse	stroma villositaire	immunohistochimie		placenta	Perte d'expression de l'actine musculaire lisse dans le stroma villositaire	
FOETO:PP.PLA-DYS-028	element	perte d'expression de p57kip2	stroma villositaire	immunohistochimie		placenta	Perte d'expression de p57kip2 dans le stroma villositaire	
FOETO:PP.PLA-DYS-029	entite	placentomégalie	placenta			placenta	Placentomégalie	anomalie macroscopique de poids, non lésion élémentaire microscopique ; aucun seuil précisé
FOETO:PP.PLA-DYS-030	element	prolifération de trophoblaste intermédiaire	espace périvillositaire			placenta	Prolifération de trophoblastes intermédiaires périvilleuse	
FOETO:PP.PLA-DYS-031	element	pseudo-inclusion trophoblastique				placenta	Pseudo-inclusion trophoblastique	
FOETO:PP.PLA-DYS-032	element	expression conservée de p57kip2	trophoblaste	immunohistochimie		placenta	Rétention trophoblastique de l'expression de p57kip2	
FOETO:PP.PLA-DYS-033	element	sclérose fibromusculaire	vaisseau de villosité tronculaire			placenta	Sclérose fibromusculaire des vaisseaux tronculaires	
FOETO:PP.PLA-DYS-034	element	septation luminale	lumière vasculaire			placenta	Septation luminale vasculaire	
FOETO:PP.PLA-DYS-035	element	hyalinisation du stroma	stroma villositaire			placenta	Stroma villositaire hyalinisé	
FOETO:PP.PLA-DYS-036	element	hypercellularité stromale avec fibroblastes indifférenciés	stroma villositaire			placenta	Stroma villositaire hypercellulaire avec fibroblastes indifférenciés	
FOETO:PP.PLA-NOR-028	structure		capillaire villositaire fœtal			placenta	Capillaires fœtaux villeux	
FOETO:PP.PLA-NOR-029	structure		capillaire paravasculaire de villosité souche			placenta	Capillaires paravasculaires des villosités souches	
FOETO:PP.PLA-NOR-030	element	dilatation sinusoïdale capillaire	capillaire villositaire	dilaté		placenta	Capillaires sinusoïdaux villositaires dilatés	classé en architecture normale alors que le libellé décrit une dilatation : statut normal/lésionnel ambigu
FOETO:PP.PLA-NOR-031	element	reliquat cartilagineux	région sous-amniotique	résiduel		placenta	Cartilage sous-amniotique (reliquat)	reliquat embryonnaire : frontière structure normale / inclusion lésionnelle non tranchée par le libellé
FOETO:PP.PLA-NOR-032	structure		cavité centrale du lobule placentaire	zone d'afflux artériel		placenta	Cavité centrale du lobule (zone d'afflux artériel)	
FOETO:PP.PLA-NOR-033	structure		stroma villositaire			placenta	Cellules de Hofbauer — macrophages stromaux villositaires	
FOETO:PP.PLA-NOR-034	structure		décidue			placenta	Cellules déciduales	
FOETO:PP.PLA-NOR-035	structure		décidue			placenta	Cellules musculaires lisses myométriales dans la décidua	présence de cellules musculaires lisses myométriales dans la décidue : repère architectural, valeur lésionnelle non explicitée
FOETO:PP.PLA-NOR-036	structure		stroma villositaire			placenta	Cellules mésenchymateuses stromales villeuses	
FOETO:PP.PLA-NOR-037	structure		chorion laeve			placenta	Chorion laeve (membranes libres)	
FOETO:PP.PLA-NOR-038	structure		chorion laeve			placenta	Chorion laeve — architecture trophoblastique	libellé de type rubrique ('architecture trophoblastique'), sans lésion factorisable
FOETO:PP.PLA-NOR-039	structure		tissu péri-vasculaire de la plaque choriale			placenta	Collagène péri-vasculaire de la plaque choriale	
FOETO:PP.PLA-NOR-040	structure		colonne cellulaire trophoblastique			placenta	Colonne cellulaire trophoblastique	
FOETO:PP.PLA-NOR-041	structure		villosité d'ancrage			placenta	Colonnes de cytotrophoblaste extravilleux (colonnes d'ancrage)	
FOETO:PP.PLA-NOR-042	structure		contour villositaire	lisse		placenta	Contours villositaires lisses	
FOETO:PP.PLA-INF-038	element	vascularite	vaisseau allanto-chorial	stade 1	réponse inflammatoire fœtale (FIR)	placenta	Vascularite des vaisseaux allanto-choriaux (réponse fœtale stade 1)	
FOETO:PP.PLA-INF-039	entite	vascularite	vaisseau de la plaque choriale	à cellules T|éosinophilique		placenta	Vasculite chorionique éosinophilique/à cellules T	
FOETO:PP.PLA-INF-040	element	vascularite	vaisseaux du cordon ombilical et de la plaque choriale			placenta	Vasculite des vaisseaux chorioniques et ombilicaux	
FOETO:PP.PLA-INF-041	entite	villite	villosité		villite chronique d'étiologie indéterminée (VUE)	placenta	Villite d'étiologie inconnue	
FOETO:PP.PLA-INF-042	element	villite	villosité	chronique		placenta	Villosite chronique	
FOETO:PP.PLA-INF-043	element	inclusions intranucléaires virales des érythroblastes	placenta	parvovirus B19		placenta	Érythroblastes à inclusion intranucléaire Parvovirus B19 (placentaire)	siège intravillositaire non précisé dans le libellé
FOETO:PP.PLA-MAL-001	entite	amnios nodosum	membrane de séparation gémellaire			placenta	Amnios nodosum (membrane de séparation gémellaire)	
FOETO:PP.PLA-MAL-002	element	anastomose artério-artérielle	plaque choriale (placenta gémellaire)			placenta	Anastomose artério-artérielle (placenta gémellaire)	
FOETO:PP.PLA-MAL-003	element	anastomose artério-veineuse	placenta gémellaire	profond		placenta	Anastomose artério-veineuse profonde (placenta gémellaire)	
FOETO:PP.PLA-MAL-004	element	anastomose veino-veineuse	placenta gémellaire			placenta	Anastomose veino-veineuse (placenta gémellaire)	
FOETO:PP.PLA-MAL-005	element	artère ombilicale unique	cordon ombilical	gémellaire		placenta	Artère ombilicale unique (grossesse gémellaire)	
FOETO:PP.PLA-MAL-006	element	calcification pariétale	veine choriale			placenta	Calcification vasculaire placentaire (veines choriales)	
FOETO:PP.PLA-MAL-007	element	calcification	cordon ombilical			placenta	Calcifications du cordon ombilical	
FOETO:PP.PLA-MAL-008	element	canal allantoïque patent	cordon ombilical			placenta	Canal allantoïque patent (ouraque)	
FOETO:PP.PLA-MAL-009	element	congestion capillaire villositaire	capillaire villositaire	jumeau receveur	syndrome transfuseur-transfusé (TTTS)	placenta	Capillaires villositaires congestifs (jumeau receveur, TTTS)	
FOETO:PP.PAR-NOR-004	element					parenchyme	Autre (label)	libellé fourre-tout non spécifique, aucune facette factorisable
FOETO:PP.PAR-NOR-005	structure					parenchyme	Autre (région)	libellé fourre-tout désignant une région non précisée
FOETO:PP.PAR-NOR-006	element	condensation chromatinienne nucléaire	syncytiotrophoblaste			parenchyme	Condensation chromatinienne des noyaux syncytiaux	
FOETO:PP.PAR-NOR-007	element	excès de trophoblaste multinucléé	plaque basale			parenchyme	Excès de trophoblaste multinucléé dans la basale	
FOETO:PP.PAR-NOR-008	entite	maturation villositaire accélérée	villosité	accélérée	malperfusion vasculaire maternelle (MVM)	parenchyme	MVM — Maturation villositaire accélérée	
FOETO:PP.PAR-NOR-009	element	nœuds syncytiaux	syncytiotrophoblaste	augmenté|vrais		parenchyme	Nœuds syncytiaux (vrais)	
FOETO:PP.PAR-NOR-010	entite	retard de maturation villositaire	villosité	retardée		parenchyme	Retard de maturation villositaire	
FOETO:PP.PAR-NOR-011	element	sénescence trophoblastique	trophoblaste			parenchyme	Sénescence placentaire (trophoblastique)	notion descriptive globale, sans lésion élémentaire précisée
FOETO:PP.PAR-NOR-012	element	épaississement de la membrane basale	membrane basale trophoblastique			parenchyme	Épaississement de la membrane basale trophoblastique	
FOETO:PP.PAR-RET-001	element	autolyse	villosité			parenchyme	Autolyse villositaire placentaire	
FOETO:PP.PAR-RET-002	element	caryolyse		rétention > 48 h		parenchyme	Cariolyse (rétention >48h)	siège non précisé par le libellé
FOETO:PP.PAR-RET-003	element	effondrement des sinusoïdes capillaires	capillaire villositaire	post-mortem		parenchyme	Effondrement post-mortem des sinusoïdes capillaires villositaires	temporalité discordante entre libellé français (post-mortem) et anglais (post-delivery)
FOETO:PP.PAR-RET-004	element	faux nœuds syncytiaux	syncytiotrophoblaste	artéfact de section		parenchyme	Faux nœuds syncytiaux (artéfact de section)	
FOETO:PP.PAR-RET-005	element	hyperplasie des cellules de hofbauer	stroma villositaire			parenchyme	Hyperplasie des cellules de Hofbauer	siège villositaire implicite, non écrit dans le libellé
FOETO:PP.PAR-RET-006	element	érythropoïèse extramédullaire	capillaire villositaire			parenchyme	Érythroblastose placentaire (érythropoïèse extra-hépatique villositaire)	
FOETO:PP.PLA-NOR-118	structure		syncytiotrophoblaste			placenta	Microvilli du syncytiotrophoblaste	
FOETO:PP.PLA-NOR-119	structure		stroma villositaire			placenta	Myofibroblastes stromaux villeux	
FOETO:PP.PLA-NOR-120	structure		mésenchyme amniotique			placenta	Mésenchyme amniotique	
FOETO:PP.PLA-NOR-121	structure		mésenchyme chorial de la plaque choriale			placenta	Mésenchyme chorial (plaque choriale)	
FOETO:PP.PLA-NOR-122	structure		mésenchyme amniotique			placenta	Mésoderme amniotique	libellé synonyme de « mésenchyme amniotique » (mésoderme = mésenchyme), même contenu
FOETO:PP.PLA-NOR-123	structure		mésenchyme chorial du chorion lisse			placenta	Mésoderme chorionique (chorion lisse)	
FOETO:PP.PLA-NOR-124	element	métaplasie malpighienne	amnios			placenta	Métaplasie malpighienne de l'amnios	
FOETO:PP.PLA-NOR-125	element	nœuds syncytiaux				placenta	Nœuds syncytiaux (changement de Tenney-Parker)	
FOETO:PP.PLA-NOR-126	element	nœuds syncytiaux				placenta	Nœuds syncytiaux (changements de Tenney-Parker)	
FOETO:PP.PLA-NOR-127	maturation	nœuds syncytiaux	villosité			placenta	Nœuds syncytiaux — maturation villositaire	
FOETO:PP.PLA-NOR-128	structure		parenchyme placentaire			placenta	Parenchyme villeux — architecture générale	
FOETO:PP.PLA-NOR-129	structure		vaisseau de la plaque choriale	épars		placenta	Pattern vasculaire dispers de la surface placentaire	
FOETO:PP.PLA-NOR-130	structure		vaisseau de la plaque choriale	magistral		placenta	Pattern vasculaire magistral de la surface placentaire	
FOETO:PP.PLA-NOR-131	maturation	persistance de la couche cytotrophoblastique	villosité			placenta	Persistance de la couche cytotrophoblastique (couche de Langhans)	
FOETO:PP.PLA-NOR-132	structure		placenta gémellaire	biamniotique|bichorionique		placenta	Placenta bichorionique biamniotique	
FOETO:PP.PLA-NOR-073	maturation	dépôt de fibrine périvillositaire	espace périvillositaire	selon l'âge gestationnel		placenta	Fibrine périvilleuse — dépôt selon l'âge gestationnel	libellé décrivant une quantité physiologique variable, sans seuil ni caractère lésionnel précisé
FOETO:PP.PLA-NOR-074	maturation	dépôt de fibrine sous-choriale	plaque choriale	épaisseur selon l'âge gestationnel		placenta	Fibrine sous-choriale (fibrine de Langhans) — épaisseur selon l'âge gestationnel	
FOETO:PP.PLA-NOR-075	structure		plaque basale			placenta	Fibrinoïde de Nitabuch	
FOETO:PP.PLA-NOR-076	structure		plaque basale			placenta	Fibrinoïde de Rohr	
FOETO:PP.PLA-NOR-077	element	dépôt de fibrinoïde de type fibrine		type fibrine		placenta	Fibrinoïde de type fibrine	
FOETO:PP.PLA-NOR-078	element	dépôt de fibrinoïde de type matriciel		type matriciel		placenta	Fibrinoïde de type matriciel	
FOETO:PP.PLA-NOR-079	element	dépôt de fibrinoïde	espace périvillositaire			placenta	Fibrinoïde périvillositaire	
FOETO:PP.PLA-NOR-080	maturation	fibrose stromale	stroma villositaire	progressive		placenta	Fibrose stromale villositaire progressive	
FOETO:PP.PLA-NOR-081	structure		disque placentaire	discoïde|normal		placenta	Forme placentaire normale (discoïde)	
