signe	nom_propose	hpo_id	label_hpo	n	choix
bilateral preaxial polysyndactyly in lower limbs	Syndactyly	HP:0001159	Syndactyly	2	
bilateral preaxial polysyndactyly in lower limbs	Preaxial polydactyly	HP:0100258	Preaxial polydactyly	2	
Bilateral striatal necrosis	Degeneration of the striatum	HP:0040140	Degeneration of the striatum	2	HP:0040140
bilateral syndactyly at the hands	Syndactyly	HP:0001159	Syndactyly	2	HP:0006101
Bilateral, symmetric cataracts	Cataract	HP:0000518	Cataract	2	HP:0000518
bile duct hypoplasia	Abnormal intrahepatic bile duct morphology	HP:0011040	Abnormal intrahepatic bile duct morphology	2	
Bitemporal indentation	Bitemporal hollowing	HP:0025386	Bitemporal hollowing	2	HP:0025386
bladder dysfunction	Abnormality of the bladder	HP:0000014	Abnormality of the bladder	2	HP:0000014
Bleeding disorder	Bleeding diathesis	HP:0001892	Abnormal bleeding	2	HP:0001892
Blood vessels visible through the skin	Prominent veins	HP:0001015	Prominent superficial veins	2	HP:0001015
body asymmetry	Asymmetric growth	HP:0100555	Asymmetric growth	2	HP:0100555
Bony fusion of the terminal phalanges	Distal finger symphalangism	HP:0001204	Distal finger symphalangism	2	HP:0001204
bony protuberances	Exostoses	HP:0100777	Exostoses	2	HP:0100777
Bony spurs	Bowdler spurs	HP:6000873	Bowdler spurs	2	HP:6000873
Bowed extremities	Bowed legs	HP:0002979	Bowing of the legs	2	PARENT:HP:0006487
Bowed forearms	Bowed forearm bones	HP:0003956	Bowed forearm bones	2	HP:0003956
Bowed lower extremities	Bowing of the legs	HP:0002979	Bowing of the legs	2	HP:0002979
Bowed radii and ulnae	Bowed radii	HP:0002986	Radial bowing	2	HP:0002986
Bowed radius and tibia	Bowed tibia	HP:0002982	Tibial bowing	2	HP:0002982
Bowed radius and tibia	Bowed radius	HP:0002986	Radial bowing	2	HP:0002986
Bowel atresia	Intestinal atresia	HP:0011100	Intestinal atresia	2	
bowing of femora	Femoral bowing	HP:0002980	Femoral bowing	2	HP:0002980
bowing of the long bones of the lower limbs	Bowing of the long bones	HP:0006487	Bowing of the long bones	2	
Bowing of the undertubulated shafts	Bowing of long bones	HP:0006487	Bowing of the long bones	2	HP:0006487
Bowing, pseudofractures (Looser zones) of the long bones	Bowing of the long bones	HP:0006487	Bowing of the long bones	2	PARENT:HP:0006487
Bowlegs in childhood	Genu valgum	HP:0002857	Genu valgum	2	HP:0002970
Brachydactyly in the hands	Brachydactyly	HP:0001156	Brachydactyly	2	HP:0001156
Brachydactyly of hands	Brachydactyly	HP:0001156	Brachydactyly	2	HP:0001156
Brachymetacarpy	Short metacarpal	HP:0010049	Short metacarpal	2	HP:0010049
Brain MRI abnormalities	Abnormality of brain morphology	HP:0012443	Abnormal brain morphology	2	HP:0012443
Brain stem hypoplasia	Brainstem hypoplasia	HP:0002365	Hypoplasia of the brainstem	2	HP:0002365
brisk deep-tendon reflexes in the legs	Hyperreflexia	HP:0001347	Hyperreflexia	2	HP:0001347
broad base and prominent tip of the nose	Broad nasal tip	HP:0000455	Broad nasal tip	2	
Broad ischial and pubic bones	Abnormal pubic bone morphology	HP:0003172	Abnormal pubic bone morphology	2	HP:0003172
Broad second to fourth distal phalanges	Broad distal phalanx	HP:0009836	Broad distal phalanx of finger	2	HP:0009836
Broad thumbs and toes	Broad toe	HP:0001837	Broad toe	2	HP:0001837
Broad thumbs and toes	Broad thumb	HP:0011304	Broad thumb	2	HP:0011304
broad, round metaphyses	Abnormal metaphysis morphology	HP:0000944	Abnormal metaphysis morphology	2	
Bruising	Ecchymosis	HP:0031364	Ecchymosis	2	HP:0031364
bulbous digits	Abnormal digit morphology	HP:0011297	Abnormal digit morphology	2	
bulbous ends of the proximal ulnae and distal radii	Abnormal morphology of the radius	HP:0002818	Abnormal morphology of the radius	2	PARENT:HP:0002818
Bulging fontanels	Bulging fontanelles	HP:6000647	Bulging fontanelle	2	HP:6000647
Bull's-eye maculopathy	Bull's eye maculopathy	HP:0011504	Bull's eye maculopathy	2	HP:0011504
Bullet-shaped middle phalanges	Bullet-shaped middle phalanges of the hand	HP:0009845	Bullet-shaped middle phalanges of the hand	2	HP:0009845
butterfly-shaped thoracic 5 vertebra	Butterfly vertebrae	HP:0003316	Butterfly vertebrae	2	
Calcifications	Ectopic calcification	HP:0010766	Ectopic calcification	2	HP:0010766
Calvarial doughnut lesions	Abnormal calvaria morphology	HP:0002683	Abnormal calvaria morphology	2	PARENT:HP:0000929
campomelic-metaphyseal skeletal dysplasia	Skeletal dysplasia	HP:0002652	Skeletal dysplasia	2	
Capital femoral epiphyseolysis	Slipped capital femoral epiphysis	HP:0006461	Proximal femoral epiphysiolysis	2	HP:0006461
cardiac involvement	Cardiac arrhythmia	HP:0011675	Arrhythmia	2	HP:0001626
Cardiac valve abnormalities	Abnormal heart valve morphology	HP:0001654	Abnormal heart valve morphology	2	
Cardiac valvular disease	Abnormal heart valve morphology	HP:0001654	Abnormal heart valve morphology	2	HP:0001654
cardiovascular complications	Cardiovascular abnormality	HP:0001626	Abnormality of the cardiovascular system	2	HP:0001626
Cardiovascular defects	Cardiovascular system abnormalities	HP:0001626	Abnormality of the cardiovascular system	2	HP:0001626
Carotid-cavernous sinus fistula	Carotid cavernous fistula	HP:0031157	Carotid cavernous fistula	2	HP:0031157
carp mouth	Downslanting palpebral fissures	HP:0000494	Downslanted palpebral fissures	2	
carpal and metacarpal fusions	Carpal fusion	HP:0009702	Carpal synostosis	2	HP:0009701
Carpal and tarsal coalition	Synostosis of carpals/tarsals	HP:0100266	Synostosis of carpals/tarsals	2	HP:0100266
central hypomyelination	Hypomyelination	HP:0003429	CNS hypomyelination	2	
central nervous system anomalies	Abnormality of the central nervous system	HP:0002011	Morphological central nervous system abnormality	2	HP:0002011
Central Nervous System malformation	Morphological central nervous system abnormality	HP:0002011	Morphological central nervous system abnormality	2	HP:0002011
Cerebellar and brain stem atrophy	Cerebellar atrophy	HP:0001272	Cerebellar atrophy	2	HP:0001272
Cerebellar and brain stem atrophy	Brainstem atrophy	HP:0007366	Atrophy/Degeneration affecting the brainstem	2	HP:0007366
Cerebellar gyration defects	Abnormal cerebellum morphology	HP:0001317	Abnormal cerebellum morphology	2	PARENT:HP:0001317
Cerebellar loss	Cerebellar atrophy	HP:0001272	Cerebellar atrophy	2	
Cerebellar malformation	Abnormality of the cerebellum	HP:0001317	Abnormal cerebellum morphology	2	HP:0001317
cervical involvement	Dystonia	HP:0001332	Dystonia	2	HP:0000473
Cervical spinal hypermobility	Cervical spine hypermobility	HP:0003318	Cervical spine hypermobility	2	HP:0003318
cervical stenosis	Spinal stenosis	HP:0003416	Spinal canal stenosis	2	HP:0008445
characteristic facial appearance	Dysmorphic facial feature	HP:0001999	Abnormal facial shape	2	HP:0001999
Choanal atresia/stenosis	Choanal atresia	HP:0000453	Choanal atresia	2	HP:0000452
Choking	Dysphagia	HP:0002015	Dysphagia	2	HP:0030842
cholestatic jaundice	Cholestasis	HP:0001396	Cholestasis	2	HP:0001396
choreatic movements	Chorea	HP:0002072	Chorea	2	HP:0002072
chronic hypoxemia	Hypoxemia	HP:0012418	Hypoxemia	2	
Chronic intestinal pseudo-obstruction	Intestinal pseudo-obstruction	HP:0004389	Intestinal pseudo-obstruction	2	HP:0004389
Chronic intestinal pseudoobstruction	Intestinal pseudo-obstruction	HP:0004389	Intestinal pseudo-obstruction	2	HP:0004389
chronic jaundice	Jaundice	HP:0000952	Jaundice	2	
chronic motor neuropathy with regeneration	Motor axonal neuropathy	HP:0007002	Motor axonal neuropathy	2	HP:0007002
chronic pulmonary disease	Chronic lung disease	HP:0006528	Chronic lung disease	2	HP:0006528
Chubby cheeks	Full cheeks	HP:0000293	Full cheeks	2	HP:0000293
Clavicular abnormalities	Abnormality of the clavicle	HP:0000889	Abnormal clavicle morphology	2	HP:0000889
Clavicular dysplasia	Abnormal clavicle morphology	HP:0000889	Abnormal clavicle morphology	2	HP:0000889
cleft palate/bifid uvula	Bifid uvula	HP:0000193	Bifid uvula	2	
Cleft uvula and/or palate	Cleft palate	HP:0000175	Cleft palate	2	HP:0000175
Cleft uvula and/or palate	Cleft uvula	HP:0000193	Bifid uvula	2	HP:0000193
clubfoot deformity	Clubfoot	HP:0001762	Talipes equinovarus	2	HP:0001762
CNS abnormalities	Abnormality of the central nervous system	HP:0002011	Morphological central nervous system abnormality	2	HP:0002011
Coarse bone trabeculae	Abnormal trabecular bone morphology	HP:0100671	Abnormal trabecular bone morphology	2	PARENT:HP:0003330
Coarse metaphyseal trabeculation	Coarse metaphyseal trabecularization	HP:0100670	Coarse metaphyseal trabecularization	2	HP:0100670
Coarse trabeculae	Abnormal trabecular bone morphology	HP:0100671	Abnormal trabecular bone morphology	2	HP:0100671
Coarsening of facial traits	Coarse facial features	HP:0000280	Coarse facial features	2	HP:0000280
Cognitive deficiency	Intellectual disability	HP:0001249	Intellectual disability	2	HP:0001249
Cognitive delays	Intellectual disability	HP:0001249	Intellectual disability	2	HP:0001249
Cognitive delays	Global developmental delay	HP:0001263	Global developmental delay	2	HP:0001263
Collapsed vertebrae	Vertebral compression fracture	HP:0002953	Vertebral compression fracture	2	HP:0000926
Coloboma of choroid	Chorioretinal coloboma	HP:0000567	Chorioretinal coloboma	2	HP:0000567
Colonic polyps	Hamartomatous polyposis	HP:0004390	Hamartomatous polyposis	2	HP:0005266
complete AV canal	Atrioventricular septal defect	HP:0006695	Atrioventricular canal defect	2	
complex conchal formation	Abnormality of the auricle	HP:0000356	Abnormality of the outer ear	2	
complex congenital heart defect	Congenital heart defect	HP:0001627	Abnormal heart morphology	2	
Cone-​shaped epiphyses	Cone-shaped epiphysis	HP:0010579	Cone-shaped epiphysis	2	HP:0010579
Confluent and hypoplastic pulmonary arteries	Pulmonary artery hypoplasia	HP:0004971	Pulmonary artery hypoplasia	2	
Congenital cardiac malformations	Congenital heart defects	HP:0001627	Abnormal heart morphology	2	HP:0001627
congenital contractures of the limbs and face	Congenital contracture	HP:0002803	Congenital contracture	2	
congenital hearing loss	Congenital sensorineural hearing impairment	HP:0008527	Congenital sensorineural hearing impairment	2	PARENT:HP:0000407
congenital heart anomalies	Congenital heart defects	HP:0001627	Abnormal heart morphology	2	HP:0001627
congenital portosystemic shunts	Congenital portosystemic venous shunt	HP:0012022	Congenital portosystemic venous shunt	2	
consecutive infections	Recurrent infections	HP:0002719	Recurrent infections	2	
Continuous beading of ribs	Abnormal rib morphology	HP:0000772	Abnormal rib morphology	2	PARENT:HP:0000772
convulsive seizures	Seizure	HP:0001250	Seizure	2	HP:0001250
Corneal leukoma	Corneal opacity	HP:0007957	Corneal opacity	2	HP:0007957
Corneal opacification	Corneal opacity	HP:0007957	Corneal opacity	2	HP:0007957
Corpus callosum defects	Corpus callosum agenesis	HP:0001274	Agenesis of corpus callosum	2	PARENT:HP:0007370
Corpus callosum defects	Corpus callosum hypoplasia	HP:0002079	Hypoplasia of the corpus callosum	2	PARENT:HP:0007370
cortical abnormalities	Abnormality of the cerebral cortex	HP:0002538	Abnormal cerebral cortex morphology	2	
cortical and periventricular calcifications	Intracranial calcification	HP:0430048	Intracranial calcification	2	
Cortical hyperostosis	Hyperostosis	HP:0100774	Hyperostosis	2	HP:0100774
Cortical thickening	Thickened cortex of long bones	HP:0000935	Thickened cortex of long bones	2	HP:0000935
Cortical thinning	Thin bony cortex	HP:0002753	Thin bony cortex	2	HP:0002753
Cortical vision loss	Cortical blindness	HP:0100704	Cerebral visual impairment	2	HP:0100704
Cranial deformities	Abnormal skull morphology	HP:0000929	Abnormal skull morphology	2	HP:0000929
Cranial nerve deficits	Cranial nerve paralysis	HP:0006824	Cranial nerve paralysis	2	HP:0031910
craniofacial anomalies	Abnormal facial shape	HP:0001999	Abnormal facial shape	2	PARENT:HP:0001999
craniofacial anomalies	Craniofacial dysostosis	HP:0004439	Craniofacial dysostosis	2	PARENT:HP:0001999
craniofacial changes	Abnormality of the head	HP:0000234	Abnormality of the head	2	
craniofacial dysmorphic features	Dysmorphic facial feature	HP:0001999	Abnormal facial shape	2	
Craniofacial malformations	Abnormality of the head	HP:0000234	Abnormality of the head	2	
Cutaneous capillary malformations	Capillary malformation	HP:0025104	Capillary malformation	2	HP:0025104
Cutaneous dimple at the apex of bowing	Skin dimple	HP:0010781	Skin dimple	2	HP:0010781
Cutaneous syndactyly of the fourth, fifth, and occasionally also of the third fingers	Syndactyly of fingers	HP:0006101	Finger syndactyly	2	PARENT:HP:0001159
Cystic dysplasia of kidney	Cystic renal dysplasia	HP:0000800	Cystic renal dysplasia	2	HP:0000800
Cystic kidneys	Polycystic kidneys	HP:0000113	Polycystic kidney dysplasia	2	HP:0000113
Cystic lesions	Central nervous system cyst	HP:0030724	Central nervous system cyst	2	HP:0030724
daytime sleepiness	Excessive daytime somnolence	HP:0001262	Excessive daytime somnolence	2	HP:0001262
Death in early childhood	Death in childhood	HP:0003819	Death in childhood	2	
death within 28 days postnatally	Neonatal death	HP:0003811	Neonatal death	2	
Decorticate posturing	Decorticate rigidity	HP:0011444	Decorticate rigidity	2	HP:0011444
Decreased bone density	Osteopenia	HP:0000938	Osteopenia	2	PARENT:HP:0004349
Decreased bone density	Decreased bone mineral density	HP:0004349	Reduced bone mineral density	2	HP:0004349
Decreased electron transport chain activity	Decreased activity of mitochondrial respiratory chain	HP:0008972	Decreased activity of mitochondrial respiratory chain	2	HP:0008972
decreased estimated glomerular filtration rate	Decreased glomerular filtration rate	HP:0012213	Decreased glomerular filtration rate	2	HP:0012213
decreased linear growth	Short stature	HP:0004322	Short stature	2	HP:0004322
Decreased mobility of hips	Limitation of joint mobility	HP:0001376	Limitation of joint mobility	2	HP:0001376
Decreased mobility of knees	Limitation of knee mobility	HP:0010501	Limitation of knee mobility	2	HP:0010501
Decreased muscle tone	Hypotonia	HP:0001252	Hypotonia	2	HP:0001252
decreased periventricular white matter	Abnormal periventricular white matter morphology	HP:0002518	Abnormal periventricular white matter morphology	2	HP:0002518
Decreased retinal pigmentation	Abnormal retinal pigmentation	HP:0007703	Abnormal retinal pigmentation	2	HP:0007703
Decreased white matter	Reduced cerebral white matter volume	HP:0034295	Reduced cerebral white matter volume	2	HP:0034295
Decreased white matter volume	Reduced cerebral white matter volume	HP:0034295	Reduced cerebral white matter volume	2	HP:0034295
deep intracerebral hemorrhages	Intracerebral hemorrhage	HP:0001342	Cerebral hemorrhage	2	HP:0001342
Deep palmar and plantar creases	Deep plantar creases	HP:0001869	Deep plantar creases	2	HP:0001869
Deep sensory loss	Impaired proprioception	HP:0010831	Impaired proprioception	2	HP:0010831
Deep-muscle hematomas	Intramuscular hematoma	HP:0012233	Intramuscular hematoma	2	HP:0012233
Defective gait	Abnormal gait	HP:0001288	Gait disturbance	2	HP:0001288
Defective ossification of the acetabulum	Abnormality of the acetabulum	HP:0003170	Abnormal acetabulum morphology	2	PARENT:HP:0003170
Defective ossification of the ribs and long tubular bones	Rib hypoplasia	HP:0000773	Short ribs	2	HP:0004349
Defects of cloacal development	Cloacal abnormality	HP:0012620	Cloacal abnormality	2	HP:0012620
Defects of neuronal migration	Abnormal neuronal migration	HP:0002269	Abnormality of neuronal migration	2	HP:0002269
defects of the anterior diaphragm	Diaphragmatic defect	HP:0000775	Abnormality of the diaphragm	2	
Defects of the lower sternum	Aplasia/Hypoplasia of the sternum	HP:0006714	Aplasia/Hypoplasia of the sternum	2	HP:0010309
Deficient complex IV activity	Decreased activity of mitochondrial complex IV	HP:0008347	Decreased activity of mitochondrial complex IV	2	
deficient ossification of the cervical spine	Poorly ossified cervical vertebrae	HP:0008477	Poorly ossified cervical vertebrae	2	
Deformed chest	Abnormal thorax morphology	HP:0000765	Abnormal thorax morphology	2	HP:0002814
Deformed legs	Bowing of the legs	HP:0002979	Bowing of the legs	2	HP:0002979
deformed long bones	Abnormality of long bone morphology	HP:0011314	Abnormal long bone morphology	2	PARENT:HP:0011314
deformity of affected bones	Abnormal bone ossification	HP:0011849	Abnormal bone ossification	2	HP:0006482
Deformity of lower extremities	Abnormality of the lower limb	HP:0002814	Abnormality of the lower limb	2	
delayed carpal/tarsal bone ossification	Delayed carpal bone ossification	HP:0001216	Delayed ossification of carpal bones	2	HP:0001216+HP:0008103
Delayed closure of sutures	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	2	HP:0000270
Delayed eruption and enamel hypoplasia of teeth	Delayed eruption of teeth	HP:0000684	Delayed eruption of teeth	2	HP:0000684
Delayed eruption and enamel hypoplasia of teeth	Enamel hypoplasia	HP:0006297	Enamel hypoplasia	2	HP:0006297
delayed gross motor function	Delayed gross motor development	HP:0002194	Delayed gross motor development	2	
Delayed onset of speech	Delayed speech development	HP:0000750	Delayed speech and language development	2	HP:0000750
Delayed ossification of the cranial vault and base	Delayed closure of cranial sutures	HP:0000270	Delayed cranial suture closure	2	HP:0005474
Dental issues	Abnormality of dental enamel	HP:0000682	Abnormal dental enamel morphology	2	PARENT:HP:0000164
Depigmented scars	Hypopigmentation of the skin	HP:0001010	Hypopigmentation of the skin	2	HP:0001010
dermatitis	Eczematoid dermatitis	HP:0000964	Eczematoid dermatitis	2	HP:0001263
desaturations	Hypoxemia	HP:0012418	Hypoxemia	2	
developmental and epileptic encephalopathies	Epileptic encephalopathy	HP:0200134	Epileptic encephalopathy	2	
Developmental delay and intellectual disability	Intellectual disability	HP:0001249	Intellectual disability	2	HP:0001249
Developmental delay and/or intellectual disability	Intellectual disability	HP:0001249	Intellectual disability	2	HP:0001249
Developmental delay and/or intellectual disability	Developmental delay	HP:0001263	Global developmental delay	2	HP:0001263
Developmental delay and/or learning difficulties	Developmental delay	HP:0001263	Global developmental delay	2	HP:0001263+HP:0001328
developmental/cognitive impairment	Intellectual disability	HP:0001249	Intellectual disability	2	
dextroposition of the heart	Dextrocardia	HP:0001651	Dextrocardia	2	HP:0001651
Diaphyseal expansion of the long tubular bones	Broad long bone diaphyses	HP:0006371	Broad long bone diaphyses	2	HP:0006371
diaphyseal undermodeling	Abnormal diaphysis morphology	HP:0000940	Abnormal diaphysis morphology	2	
diarrhea and/or oral mucositis	Diarrhea	HP:0002014	Diarrhea	2	HP:0002014
Difficulty opening mouth	Limited mouth opening	HP:0000211	Trismus	2	HP:0000211
difficulty with balance	Ataxia	HP:0001251	Ataxia	2	HP:0002141
Diffuse body ecchymoses	Ecchymosis	HP:0031364	Ecchymosis	2	
diffuse sinusoidal fibrosis	Liver fibrosis	HP:0001395	Hepatic fibrosis	2	
diffuse villous edema	Edema	HP:0000969	Edema	2	NON
digital contractures	Contracture	HP:0034392	Joint contracture	2	HP:0034681
diminished cytochrome c oxidase activity	Cytochrome C oxidase-negative muscle fibers	HP:0003688	Cytochrome C oxidase-negative muscle fibers	2	HP:0008347
Diminished libido	Decreased libido	HP:0046504	Decreased libido	2	HP:0046504
disc protrusion	Abnormal intervertebral disk morphology	HP:0005108	Abnormal intervertebral disk morphology	2	HP:0005108
Discolored and/or pale stools	Acholic stools	HP:0011985	Acholic stools	2	HP:0011985
Disequilibrium	Gait ataxia	HP:0002066	Gait ataxia	2	HP:0002141
disinhibited behavior	Disinhibition	HP:0000734	Disinhibition	2	HP:0000734
Dislocated elbows	Elbow dislocation	HP:0003042	Elbow dislocation	2	HP:0003042
disproportionately short stature	Short stature	HP:0004322	Short stature	2	PARENT:HP:0004322
Disseminated intravascular coagulopathy	Disseminated intravascular coagulation	HP:0005521	Disseminated intravascular coagulation	2	
Distal axial triradius	High axial triradius	HP:0001042	High axial triradius	2	HP:0001042
Distal digital hypoplasia	Aplasia/Hypoplasia of the distal phalanges of the hand	HP:0009835	Aplasia/Hypoplasia of the distal phalanges of the hand	2	HP:0009835
Distal esophageal stenosis	Esophageal stenosis	HP:0010450	Esophageal stenosis	2	PARENT:HP:0010450
distal spasticity	Spasticity	HP:0001257	Spasticity	2	PARENT:HP:0001257
Distally short and tapered humerus and femur	Short femur	HP:0003097	Short femur	2	HP:0003097
Distally short and tapered humerus and femur	Short humerus	HP:0005792	Short humerus	2	HP:0005792
distention	Abdominal distension	HP:0003270	Abdominal distention	2	HP:0003270
distinctive craniofacial appearance	Abnormal facial shape	HP:0001999	Abnormal facial shape	2	
Distinctive facial features	Abnormal facial shape	HP:0001999	Abnormal facial shape	2	HP:0001999
Distorted pubic and ischial bones	Abnormality of the pubic bone	HP:0003172	Abnormal pubic bone morphology	2	HP:0003172
Distorted pubic and ischial bones	Abnormality of the ischium	HP:0003174	Abnormal ischium morphology	2	HP:0003174
diverticula	Small bowel diverticula	HP:0002256	Small bowel diverticula	2	PARENT:HP:0005222
do not sweat	Anhidrosis	HP:0000970	Anhidrosis	2	
Dolichocephalic skull	Dolichocephaly	HP:0000268	Dolichocephaly	2	HP:0000268
Double ossification center of the lunate	Multiple carpal ossification centers	HP:0006067	Multiple carpal ossification centers	2	HP:0006067
Double-outlet left ventricle	Double outlet left ventricle	HP:0011581	Double outlet left ventricle	2	HP:0011581
Downward slant of the palpebral fissures	Downslanting palpebral fissures	HP:0000494	Downslanted palpebral fissures	2	HP:0000494
dryness of the skin	Dry skin	HP:0000958	Dry skin	2	HP:0000958
Duane retraction syndrome	Duane anomaly	HP:0009921	Duane anomaly	2	HP:0009921
Dumbbell-shaped femora	Dumbbell-shaped femur	HP:0006375	Dumbbell-shaped femur	2	HP:0006375
duodenal cancer	Duodenal adenocarcinoma	HP:0006771	Duodenal adenocarcinoma	2	HP:0006771
Duplicated renal system	Renal duplication	HP:0000075	Renal duplication	2	HP:0000075
dyslipidemia	Abnormal circulating lipid concentration	HP:0003119	Abnormal circulating lipid concentration	2	HP:0003119
Dysmotility	Abnormal gastrointestinal motility	HP:0030895	Abnormal gastrointestinal motility	2	HP:0030895
dysplastic auricles	Abnormal ear morphology	HP:0031703	Abnormal ear morphology	2	PARENT:HP:0031703
Dyspnea on exertion	Exertional dyspnea	HP:0002875	Exertional dyspnea	2	HP:0002875
dysregulation of muscle tone	Abnormal muscle tone	HP:0003808	Abnormal muscle tone	2	HP:0003808
dystocic delivery	Abnormal delivery	HP:0001787	Abnormal delivery	2	
dystonic features	Dystonia	HP:0001332	Dystonia	2	HP:0001332
Dystrophy	Muscular dystrophy	HP:0003560	Muscular dystrophy	2	
ear malformation	Abnormality of the ear	HP:0000598	Abnormality of the ear	2	HP:0000598
early and acute respiratory failure	Respiratory failure	HP:0002878	Respiratory failure	2	
early pharmacoresistant seizure	Seizures	HP:0001250	Seizure	2	
early-onset degenerative joint disease	Osteoarthritis	HP:0002758	Osteoarthritis	2	HP:0002758
early-onset encephalopathy	Infantile encephalopathy	HP:0007105	Infantile encephalopathy	2	
early-onset muscle weakness	Muscle weakness	HP:0001324	Muscle weakness	2	
Early-onset osteoarthritis	Premature osteoarthritis	HP:0003088	Premature osteoarthritis	2	HP:0003088
early-onset respiratory distress	Respiratory distress	HP:0002098	Respiratory distress	2	
early-onset scoliosis	Scoliosis	HP:0002650	Scoliosis	2	
Ebstein anomaly	Ebstein anomaly of the tricuspid valve	HP:0010316	Ebstein anomaly of the tricuspid valve	2	HP:0010316
edematous infant	Edema	HP:0000969	Edema	2	
Elbow dysplasia	Abnormal elbow morphology	HP:0020300	Abnormal elbow morphology	2	PARENT:HP:0020300
Electrocardiographic abnormalities	Abnormal electrocardiogram	HP:0003115	Abnormal EKG	2	PARENT:HP:0030956
electroencephalograph abnormalities	Abnormal electroencephalogram	HP:0002353	EEG abnormality	2	HP:0002353
elevated aspartate aminotransferase	Elevated circulating aspartate aminotransferase concentration	HP:0031956	Elevated circulating aspartate aminotransferase concentration	2	HP:0031956
Elevated bilirubin	Hyperbilirubinemia	HP:0002904	Hyperbilirubinemia	2	
elevated blood pressure	Hypertension	HP:0000822	Hypertension	2	HP:0000822
Elevated C-reactive protein	Elevated circulating C-reactive protein concentration	HP:0011227	Elevated circulating C-reactive protein concentration	2	HP:0011227
Elevated lactate dehydrogenase	Increased circulating lactate dehydrogenase concentration	HP:0025435	Increased circulating lactate dehydrogenase concentration	2	HP:0025435
Elevated lactate levels	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	2	HP:0002151
elevated liver function tests	Abnormal circulating hepatic transaminase concentration	HP:0430135	Abnormal circulating hepatic transaminase concentration	2	HP:0430135
elevated markers of inflammation	Abnormal inflammatory response	HP:0012647	Abnormal inflammatory response	2	
elevated plasma lactate	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	2	HP:0002151
elevated serum concentration of immunoglobulin E	Increased circulating IgE concentration	HP:0003212	Increased circulating IgE concentration	2	HP:0003212
elevated serum lactate levels	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	2	
Elevated serum phosphate	Hyperphosphatemia	HP:0002905	Hyperphosphatemia	2	HP:0002905
elevation of serum CK concentration	Elevated creatine kinase	HP:0003236	Elevated circulating creatine kinase concentration	2	HP:0003236
Elongated face	Long face	HP:0000276	Long face	2	HP:0000276
Enamel defects	Abnormal dental enamel morphology	HP:0000682	Abnormal dental enamel morphology	2	HP:0000682
Enamel defects	Enamel hypoplasia	HP:0006297	Enamel hypoplasia	2	HP:0000682
enamel dysplasia	Enamel hypoplasia	HP:0006297	Enamel hypoplasia	2	HP:0000682
end plate irregularities	Irregular vertebral endplates	HP:0003301	Irregular vertebral endplates	2	HP:0003301
endocrine disorders	Abnormality of the endocrine system	HP:0000818	Abnormality of the endocrine system	2	
Enlarged bone ends	Enlarged epiphyses	HP:0010580	Enlarged epiphyses	2	HP:0003051
Enlarged corpus callosum	Abnormal corpus callosum morphology	HP:0001273	Abnormal corpus callosum morphology	2	PARENT:HP:0001273
Enterovirus meningitis	Meningitis	HP:0001287	Meningitis	2	NON
Epigastric hernia	Hernia	HP:0100790	Hernia	2	HP:0100790
Epiphyseal and metaphyseal abnormalities of the long tubular bones	Abnormality of the epiphyses	HP:0005930	Abnormal epiphysis morphology	2	PARENT:HP:0011314
Erratic sleep patterns	Sleep-wake cycle disturbance	HP:0006979	Sleep-wake cycle disturbance	2	HP:0006979
Esophageal varices	Esophageal varix	HP:0002040	Esophageal varix	2	HP:0002040
excessive iron deposition in hepatocytes	Elevated hepatic iron concentration	HP:0012465	Elevated hepatic iron concentration	2	
Excessive periosteal new bone formation	Periostitis	HP:0040165	Periostitis	2	HP:0030314
Excessive perspiration	Hyperhidrosis	HP:0000975	Hyperhidrosis	2	HP:0000975
Extrahepatic siderosis	Abnormality of iron homeostasis	HP:0011031	Abnormality of iron homeostasis	2	
Extrapyramidal findings	Extrapyramidal signs	HP:0002071	Abnormality of extrapyramidal motor function	2	HP:0002071
Extreme fatigue	Fatigue	HP:0012378	Fatigue	2	HP:0012378
extreme microcephaly	Microcephaly	HP:0000252	Microcephaly	2	HP:0000252
Extreme micromelia	Micromelia	HP:0002983	Micromelia	2	HP:0002983
Extreme paucity in pontine transverse fibres	Hypoplasia of the pons	HP:0012110	Hypoplasia of the pons	2	HP:0012110
eye involvement	Abnormality of the eye	HP:0000478	Abnormality of the eye	2	
Facial asymmetry when crying	Facial asymmetry	HP:0000324	Facial asymmetry	2	
Facial asymmetry when smiling	Facial asymmetry	HP:0000324	Facial asymmetry	2	
facial deformities	Abnormality of the face	HP:0000271	Abnormality of the face	2	
Facial flushing	Flushing	HP:0031284	Flushing	2	HP:0031284
facial traits	Abnormal facial shape	HP:0001999	Abnormal facial shape	2	
Fanconi syndrome	Renal Fanconi syndrome	HP:0001994	Renal Fanconi syndrome	2	
fatal respiratory distress	Respiratory distress	HP:0002098	Respiratory distress	2	
fatigability	Fatigue	HP:0012378	Fatigue	2	HP:0012378
femoral necks in valgus	Coxa valga	HP:0002673	Coxa valga	2	HP:0002673
fetal cardiomyopathy	Cardiomyopathy	HP:0001638	Cardiomyopathy	2	
