score	omim	nom	n_onset_prenatal	signes_foetaux	orpha
6	OMIM:620186	Branchial arch abnormalities, choanal atresia, athelia, hearing loss, and hypothyroidism syndrome	0	RCIU;polyhydramnios	ORPHA:589856
6	OMIM:620167	Combined oxidative phosphorylation deficiency 57	0	décès nourrisson;décès néonat	—
6	OMIM:620135	Mitochondrial complex I deficiency, nuclear type 39	0	RCIU;oligohydramnios	ORPHA:2609
6	OMIM:620133	Dyskeratosis congenita, autosomal recessive 8	0	RCIU;prématurité	ORPHA:1775
6	OMIM:620113	Neurodevelopmental disorder with growth retardation, dysmorphic facies, and corpus callosum abnormalities	0	RCIU;oligohydramnios	—
6	OMIM:620025	Diaphragmatic hernia 4, with cardiovascular defects	0	polyhydramnios;hypoplasie pulm	—
6	OMIM:620014	Lymphatic malformation 12	0	polyhydramnios;décès néonat	—
6	OMIM:619922	Neurodevelopmental disorder with dystonia and seizures	0	RCIU;MFA↓	ORPHA:442835
6	OMIM:619859	Phosphoribosylaminoimidazole carboxylase deficiency	0	polyhydramnios;décès néonat	ORPHA:633099
6	OMIM:619833	Neurodevelopmental disorder with neuromuscular and skeletal abnormalities	0	RCIU;polyhydramnios	ORPHA:528084
6	OMIM:619761	Cerebellar dysfunction, impaired intellectual development, and hypogonadotropic hypogonadism	0	RCIU;polyhydramnios	—
6	OMIM:619648	Zaki syndrome	0	agénésie rénale;HDC	—
6	OMIM:619573	Immunodeficiency 87 and autoimmunity	0	RCIU;oligohydramnios	—
6	OMIM:619534	Biliary, renal, neurologic, and skeletal syndrome	0	polyhydramnios;décès néonat	—
6	OMIM:619522	Neurodevelopmental-craniofacial syndrome with variable renal and cardiac abnormalities	0	agénésie rénale;RCIU	ORPHA:528084
6	OMIM:619340	Developmental and epileptic encephalopathy 96	0	décès nourrisson;hydrops	ORPHA:1934
6	OMIM:619033	Vissers-Bodmer syndrome	0	RCIU;prématurité	ORPHA:528084
6	OMIM:619005	Neurodevelopmental disorder with dysmorphic facies, impaired speech and hypotonia	3	RCIU	ORPHA:528084
6	OMIM:618862	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures	3	polyhydramnios	—
6	OMIM:618782	Long QT syndrome 16	6		ORPHA:101016,ORPHA:727192,ORPHA:730657
6	OMIM:618653	Intellectual developmental disorder with impaired language and dysmorphic facies	3	oligohydramnios	ORPHA:528084
6	OMIM:618371	Turnpenny-Fry syndrome	0	RCIU;polyhydramnios	ORPHA:688642
6	OMIM:618291	Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant	0	MFA↓;polyhydramnios	ORPHA:363454
6	OMIM:618253	Mitochondrial complex I deficiency, nuclear type 33	0	RCIU;oligohydramnios	ORPHA:2609
6	OMIM:618246	Mitochondrial complex I deficiency, nuclear type 25	0	RCIU;prématurité	ORPHA:2609
6	OMIM:618183	Diarrhea 10, protein-losing enteropathy type	0	décès nourrisson;polyhydramnios	ORPHA:329242
6	OMIM:618164	Cardiac, facial, and digital anomalies with developmental delay	0	RCIU;prématurité	ORPHA:592570
6	OMIM:617729	Galloway-Mowat syndrome 3	0	RCIU;oligohydramnios	ORPHA:2065
6	OMIM:617713	Combined oxidative phosphorylation deficiency 33	0	RCIU;oligohydramnios	—
6	OMIM:617604	Microcephaly, short stature, and limb abnormalities	0	RCIU;oligohydramnios	ORPHA:572761,ORPHA:572773
6	OMIM:617248	3-methylglutaconic aciduria, type VIII	0	décès nourrisson;décès néonat	ORPHA:505208
6	OMIM:617184	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type), autosomal dominant	0	décès nourrisson;décès néonat	—
6	OMIM:617157	Short stature, brachydactyly, intellectual developmental disability, and seizures	0	RCIU;polyhydramnios	ORPHA:464288
6	OMIM:617146	Arthrogryposis, distal, with impaired proprioception and touch	4		ORPHA:707937
6	OMIM:617049	Cholestasis, progressive familial intrahepatic, 5	3	décès nourrisson	ORPHA:172,ORPHA:480476
6	OMIM:616977	Intellectual developmental disorder, autosomal dominant 43	0	MFA↓;oligohydramnios	ORPHA:178469
6	OMIM:616868	Diarrhea 8, secretory sodium, congenital	1	polyhydramnios	ORPHA:103908
6	OMIM:616809	Hyperphosphatasia with impaired intellectual development syndrome 6	0	décès nourrisson;polyhydramnios	ORPHA:247262
6	OMIM:616794	Combined oxidative phosphorylation deficiency 28	0	MFA↓;polyhydramnios	ORPHA:466784
6	OMIM:616651	Roifman syndrome	0	RCIU;prématurité	ORPHA:353298
6	OMIM:616647	Epileptic encephalopathy, early infantile, 35	0	RCIU;décès nourrisson	ORPHA:457375
6	OMIM:616326	Myasthenic syndrome, congenital, 11, associated with acetylcholine receptor deficiency	1	MFA↓	ORPHA:590,ORPHA:719880,ORPHA:98913
6	OMIM:616322	Myasthenic syndrome, congenital, 3B, fast-channel	1	MFA↓	ORPHA:590,ORPHA:716742,ORPHA:716758,ORPHA:98913
6	OMIM:615918	Combined oxidative phosphorylation deficiency 21	3	décès néonat	ORPHA:420733
6	OMIM:615731	Nemaline myopathy 9	0	polyhydramnios;akinésie	ORPHA:171430,ORPHA:171433,ORPHA:171436,ORPHA:171439
6	OMIM:615597	Congenital disorder of glycosylation, type Ix	1	RCIU	ORPHA:370924
6	OMIM:615583	Verheij syndrome	0	agénésie rénale;RCIU	ORPHA:508488,ORPHA:508498
6	OMIM:615578	Combined oxidative phosphorylation deficiency 18	0	RCIU;oligohydramnios	ORPHA:391348
6	OMIM:615512	Triosephosphate isomerase deficiency	0	décès nourrisson;oligohydramnios	ORPHA:868
6	OMIM:615476	Developmental and epileptic encephalopathy 18	0	polyhydramnios;oligohydramnios	ORPHA:442835
6	OMIM:615440	Combined oxidative phosphorylation deficiency 17	0	RCIU;décès nourrisson	ORPHA:369913
6	OMIM:615330	Multiple mitochondrial dysfunctions syndrome 3	0	RCIU;polyhydramnios	ORPHA:363424
6	OMIM:615228	Mitochondrial complex V (atp synthase) deficiency, nuclear type 4	0	hypoplasie pulm;décès néonat	ORPHA:254913
6	OMIM:614702	Combined oxidative phosphorylation deficiency 10	0	RCIU;oligohydramnios	ORPHA:314637
6	OMIM:614388	Encephalopathy due to defective mitochondrial and peroxisomal fission 1	0	décès nourrisson;MFA↓	ORPHA:330050,ORPHA:527276
6	OMIM:614294	Chromosome 15q25 deletion syndrome	0	HDC;RCIU	—
6	OMIM:613776	Chromosome 17p13.1 deletion syndrome	0	MFA↓;oligohydramnios	—
6	OMIM:613177	Cutis laxa, autosomal recessive, type IC	0	décès nourrisson;hypoplasie pulm	ORPHA:221145
6	OMIM:613090	Bartter syndrome, type 4B, neonatal, with sensorineural deafness	0	polyhydramnios;prématurité	ORPHA:112,ORPHA:89938
6	OMIM:611087	Polyhydramnios, megalencephaly, and symptomatic epilepsy	0	polyhydramnios;prématurité	ORPHA:500533
6	OMIM:610678	Combined oxidative phosphorylation deficiency 4	0	RCIU;décès nourrisson	ORPHA:254925
6	OMIM:610498	Combined oxidative phosphorylation deficiency 2	3	décès néonat	ORPHA:254920
6	OMIM:610187	Diaphragmatic hernia 3	0	HDC;hypoplasie pulm	ORPHA:2140
6	OMIM:608670	Robin sequence, distinctive facial appearance, and brachydactyly	0	RCIU;oligohydramnios	ORPHA:364577
6	OMIM:606170	Genitopatellar syndrome	0	polyhydramnios;hypoplasie pulm	ORPHA:85201
6	OMIM:604377	Mitochondrial complex IV deficiency, nuclear type 2	0	RCIU;décès nourrisson	ORPHA:1561
6	OMIM:604317	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations	0	MFA↓;prématurité	ORPHA:2512
6	OMIM:602088	Nephronophthisis 2	0	oligohydramnios;hypoplasie pulm	ORPHA:655,ORPHA:93591
6	OMIM:601163	Diaphragmatic defects, limb deficiencies, and ossification defects of skull	0	HDC;hypoplasie pulm	ORPHA:2141
6	OMIM:600559	Hydrocephalus, endocardial fibroelastosis, and cataracts	0	décès nourrisson;polyhydramnios	ORPHA:2119
6	OMIM:306950	Hernia, anterior diaphragmatic	0	HDC;décès néonat	ORPHA:2140
6	OMIM:301110	Hemolytic uremic syndrome, atypical, 8, with rhizomelic short stature	6		—
6	OMIM:301041	Wieacker-Wolff syndrome, female-restricted	0	polyhydramnios;akinésie	ORPHA:3454
6	OMIM:300978	Tonne-Kalscheuer syndrome	0	HDC;hypoplasie pulm	ORPHA:528084
6	OMIM:300971	Bartter syndrome, type 5, antenatal, transient	0	polyhydramnios;prématurité	ORPHA:112,ORPHA:570371
6	OMIM:277470	Pontocerebellar hypoplasia, type 2A	1	polyhydramnios	ORPHA:2524
6	OMIM:267430	Renal tubular dysgenesis	0	oligohydramnios;hypoplasie pulm	ORPHA:3033,ORPHA:97369
6	OMIM:267000	Perlman syndrome	0	HDC;polyhydramnios	ORPHA:2849
6	OMIM:263650	Popliteal pterygium syndrome, Bartsocas-Papas type 1	0	RCIU;MFA↓	ORPHA:1234
6	OMIM:263630	Polysyndactyly with cardiac malformation	0	polyhydramnios;mort-né	ORPHA:2934
6	OMIM:261515	D-bifunctional protein deficiency	3	polyhydramnios	ORPHA:300
6	OMIM:260600	Leukodystrophy, hypomyelinating, 3	0	décès nourrisson;prématurité	ORPHA:280270,ORPHA:280293
6	OMIM:257350	Nuchal bleb, familial	0	hydrops;mort-né	ORPHA:79486
6	OMIM:257300	Mosaic variegated aneuploidy syndrome 1	0	RCIU;oligohydramnios	ORPHA:1052
6	OMIM:256030	Nemaline myopathy 2, autosomal recessive	0	MFA↓;polyhydramnios	ORPHA:171430,ORPHA:171433,ORPHA:171436,ORPHA:171439,ORPHA:399103
6	OMIM:251300	Galloway-Mowat syndrome 1	0	RCIU;oligohydramnios	ORPHA:2065
6	OMIM:251280	Microcephaly, seizures, spasticity, and brain calcifications	0	RCIU;prématurité	ORPHA:319192
6	OMIM:247990	Macdermot-Winter syndrome	0	RCIU;décès nourrisson	ORPHA:2083
6	OMIM:246200	Donohue syndrome	0	RCIU;polyhydramnios	ORPHA:508
6	OMIM:241800	Pallister-Hall-like syndrome	0	décès nourrisson;hypoplasie pulm	—
6	OMIM:241200	Bartter syndrome, type 2	0	polyhydramnios;prématurité	ORPHA:112,ORPHA:620220
6	OMIM:231100	Hemochromatosis, neonatal	0	RCIU;oligohydramnios	ORPHA:446
6	OMIM:226735	Epidermolysis bullosa with diaphragmatic hernia	0	HDC;décès néonat	—
6	OMIM:225400	Ehlers-Danlos syndrome, kyphoscoliotic type, 1	3	MFA↓	ORPHA:1900
6	OMIM:220500	Doors syndrome	3	agénésie rénale	ORPHA:3231,ORPHA:79500
6	OMIM:202650	Agnathia-Otocephaly complex	0	polyhydramnios;hypoplasie pulm	ORPHA:990
6	OMIM:194080	Denys-Drash syndrome	0	HDC;décès néonat	ORPHA:220
6	OMIM:161800	Nemaline myopathy 3	0	MFA↓;polyhydramnios	ORPHA:171430,ORPHA:171433,ORPHA:171436,ORPHA:171439,ORPHA:98904
6	OMIM:157800	Cardiospondylocarpofacial syndrome	0	HDC;MFA↓	ORPHA:3238
